           t           r         psi          cs          qs               p             sig           A           V          Q2           S
    0.000000    0.000000   -1.570796   -0.760159    0.000000        0.151985        5.191211    0.000000    0.000000    0.111911    7.498068
    0.002488    0.018651   -1.556615   -0.760680    0.074333        0.150926        5.117238    0.001093    0.000000    0.111911    7.498068
    0.004975    0.037299   -1.542414   -0.762231    0.147354        0.147624        5.044178    0.004371    0.000001    0.111911    7.498068
    0.007463    0.055939   -1.528174   -0.764792    0.219147        0.141929        4.971976    0.009835    0.000006    0.111911    7.498068
    0.009950    0.074567   -1.513878   -0.768347    0.289788        0.133697        4.900578    0.017482    0.000019    0.111911    7.498068
    0.012438    0.093181   -1.499506   -0.772878    0.359345        0.122773        4.829931    0.027312    0.000045    0.111911    7.498068
    0.014925    0.111775   -1.485041   -0.778372    0.427874        0.108993        4.759983    0.039322    0.000094    0.111911    7.498068
    0.017413    0.130346   -1.470464   -0.784813    0.495424        0.092177        4.690681    0.053510    0.000174    0.111911    7.498068
    0.019900    0.148890   -1.455758   -0.792188    0.562034        0.072126        4.621975    0.069872    0.000297    0.111911    7.498068
    0.022388    0.167402   -1.440906   -0.800485    0.627735        0.048625        4.553815    0.088406    0.000477    0.111911    7.498068
    0.024876    0.185878   -1.425891   -0.809691    0.692547        0.021436        4.486152    0.109108    0.000728    0.111911    7.498068
    0.027363    0.204313   -1.410696   -0.819793    0.756482       -0.009703        4.418939    0.131972    0.001068    0.111911    7.498068
    0.029851    0.222703   -1.395304   -0.830780    0.819541       -0.045080        4.352127    0.156994    0.001515    0.111911    7.498068
    0.032338    0.241043   -1.379700   -0.842640    0.881717       -0.085009        4.285672    0.184169    0.002090    0.111911    7.498068
    0.034826    0.259326   -1.363865   -0.855362    0.942990       -0.129840        4.219528    0.213489    0.002816    0.111911    7.498068
    0.037313    0.277549   -1.347786   -0.868932    1.003330       -0.179956        4.153652    0.244949    0.003718    0.111911    7.498068
    0.039801    0.295704   -1.331446   -0.883338    1.062696       -0.235776        4.088002    0.278541    0.004822    0.111911    7.498068
    0.042289    0.313787   -1.314829   -0.898567    1.121034       -0.297765        4.022536    0.314255    0.006157    0.111911    7.498068
    0.044776    0.331791   -1.297921   -0.914604    1.178276       -0.366432        3.957217    0.352085    0.007754    0.111911    7.498068
    0.047264    0.349708   -1.280706   -0.931435    1.234343       -0.442339        3.892006    0.392019    0.009645    0.111911    7.498068
    0.049751    0.367533   -1.263170   -0.949043    1.289138       -0.526103        3.826869    0.434048    0.011865    0.111911    7.498068
    0.052239    0.385258   -1.245298   -0.967410    1.342552       -0.618405        3.761772    0.478161    0.014451    0.111911    7.498068
    0.054726    0.402876   -1.227077   -0.986516    1.394454       -0.719993        3.696685    0.524344    0.017441    0.111911    7.498068
    0.057214    0.420378   -1.208493   -1.006340    1.444700       -0.831692        3.631582    0.572585    0.020875    0.111911    7.498068
    0.059701    0.437755   -1.189533   -1.026857    1.493122       -0.954409        3.566438    0.622870    0.024795    0.111911    7.498068
    0.062189    0.455000   -1.170183   -1.048041    1.539535       -1.089142        3.501234    0.675184    0.029246    0.111911    7.498068
    0.064677    0.472102   -1.150433   -1.069862    1.583727       -1.236989        3.435955    0.729510    0.034273    0.111911    7.498068
    0.067164    0.489053   -1.130269   -1.092288    1.625464       -1.399158        3.370591    0.785832    0.039921    0.111911    7.498068
    0.069652    0.505841   -1.109683   -1.115281    1.664485       -1.576974        3.305139    0.844131    0.046241    0.111911    7.498068
    0.072139    0.522457   -1.088662   -1.138801    1.700499       -1.771892        3.239603    0.904388    0.053281    0.111911    7.498068
    0.074627    0.538889   -1.067198   -1.162801    1.733186       -1.985510        3.173996    0.966581    0.061090    0.111911    7.498068
    0.077114    0.555125   -1.045282   -1.187232    1.762191       -2.219571        3.108341    1.030689    0.069721    0.111911    7.498068
    0.079602    0.571155   -1.022907   -1.212035    1.787125       -2.475983        3.042672    1.096687    0.079225    0.111911    7.498068
    0.082090    0.586965   -1.000067   -1.237148    1.807558       -2.756820        2.977038    1.164551    0.089652    0.111911    7.498068
    0.084577    0.602542   -0.976756   -1.262499    1.823021       -3.064338        2.911505    1.234255    0.101055    0.111911    7.498068
    0.087065    0.617873   -0.952970   -1.288012    1.833001       -3.400972        2.846154    1.305770    0.113484    0.111911    7.498068
    0.089552    0.632945   -0.928707   -1.313597    1.836939       -3.769341        2.781094    1.379066    0.126988    0.111911    7.498068
    0.092040    0.647743   -0.903968   -1.339160    1.834226       -4.172247        2.716455    1.454113    0.141616    0.111911    7.498068
    0.094527    0.662253   -0.878752   -1.364592    1.824206       -4.612655        2.652400    1.530877    0.157415    0.111911    7.498068
    0.097015    0.676460   -0.853065   -1.389775    1.806169       -5.093680        2.589126    1.609324    0.174429    0.111911    7.498068
    0.099502    0.690349   -0.826911   -1.414578    1.779352       -5.618542        2.526872    1.689418    0.192698    0.111911    7.498068
    0.101990    0.703905   -0.800299   -1.438856    1.742942       -6.190517        2.465924    1.771120    0.212261    0.111911    7.498068
    0.104478    0.717112   -0.773240   -1.462452    1.696077       -6.812859        2.406620    1.854390    0.233152    0.111911    7.498068
    0.106965    0.729955   -0.745749   -1.485189    1.637848       -7.488688        2.349365    1.939187    0.255400    0.111911    7.498068
    0.109453    0.742418   -0.717843   -1.506879    1.567308       -8.220850        2.294632    2.025467    0.279030    0.111911    7.498068
    0.111940    0.754487   -0.689545   -1.527313    1.483483       -9.011723        2.242977    2.113185    0.304060    0.111911    7.498068
    0.114428    0.766145   -0.660878   -1.546265    1.385384       -9.862981        2.195043    2.202293    0.330504    0.111911    7.498068
    0.116915    0.777379   -0.631874   -1.563492    1.272027      -10.775286        2.151577    2.292743    0.358368    0.111911    7.498068
    0.119403    0.788174   -0.602566   -1.578732    1.142464      -11.747919        2.113435    2.384483    0.387651    0.111911    7.498068
    0.121891    0.798517   -0.572995   -1.591705    0.995810      -12.778344        2.081589    2.477463    0.418345    0.111911    7.498068
    0.124378    0.808395   -0.543205   -1.602116    0.831288      -13.861703        2.057137    2.571627    0.450435    0.111911    7.498068
    0.126866    0.817795   -0.513248   -1.609654    0.648279      -14.990257        2.041303    2.666921    0.483898    0.111911    7.498068
    0.129353    0.826708   -0.483179   -1.613997    0.446387      -16.152805        2.035433    2.763288    0.518702    0.111911    7.498068
    0.131841    0.835123   -0.453062   -1.614815    0.225501      -17.334119        2.040990    2.860671    0.554810    0.111911    7.498068
    0.134328    0.843034   -0.422964   -1.611776   -0.014119      -18.514461        2.059532    2.959011    0.592174    0.111911    7.498068
    0.136816    0.850434   -0.392962   -1.604552   -0.271769      -19.669272        2.092680    3.058247    0.630741    0.111911    7.498068
    0.139303    0.857318   -0.363136   -1.592830   -0.546211      -20.769139        2.142081    3.158321    0.670451    0.111911    7.498068
    0.141791    0.863684   -0.333573   -1.576318   -0.835601      -21.780156        2.209347    3.259171    0.711237    0.111911    7.498068
    0.144279    0.869532   -0.304365   -1.554760   -1.137431      -22.664796        2.295986    3.360737    0.753028    0.111911    7.498068
    0.146766    0.874864   -0.275608   -1.527944   -1.448493      -23.383376        2.403320    3.462958    0.795747    0.111911    7.498068
    0.149254    0.879685   -0.247401   -1.495719   -1.764885      -23.896134        2.532393    3.565773    0.839314    0.111911    7.498068
    0.151741    0.884002   -0.219846   -1.458006   -2.082056      -24.165851        2.683880    3.669125    0.883648    0.111911    7.498068
    0.154229    0.887824   -0.193045   -1.414809   -2.394913      -24.160826        2.857998    3.772953    0.928664    0.111911    7.498068
    0.156716    0.891163   -0.167101   -1.366221   -2.697977      -23.857918        3.054443    3.877200    0.974279    0.111911    7.498068
    0.159204    0.894034   -0.142113   -1.312436   -2.985593      -23.245249        3.272340    3.981811    1.020412    0.111911    7.498068
    0.161692    0.896453   -0.118173   -1.253748   -3.252172      -22.324182        3.510236    4.086732    1.066981    0.111911    7.498068
    0.164179    0.898439   -0.095371   -1.190547   -3.492460      -21.110194        3.766132    4.191911    1.113910    0.111911    7.498068
    0.166667    0.900012   -0.073786   -1.123314   -3.701790      -19.632456        4.037548    4.297298    1.161125    0.111911    7.498068
    0.169154    0.901196   -0.053489   -1.052608   -3.876314      -17.932101        4.321631    4.402847    1.208559    0.111911    7.498068
    0.171642    0.902015   -0.034538   -0.979052   -4.013169      -16.059376        4.615282    4.508513    1.256148    0.111911    7.498068
    0.174129    0.902493   -0.016980   -0.903314   -4.110586      -14.070079        4.915296    4.614254    1.303836    0.111911    7.498068
    0.176617    0.902657   -0.000850   -0.826089   -4.167919      -12.021740        5.218503    4.720033    1.351572    0.111911    7.498068
    0.179104    0.902534    0.013832   -0.748078   -4.185597       -9.970013        5.521892    4.825814    1.399310    0.111911    7.498068
    0.181592    0.902150    0.027056   -0.669971   -4.165024       -7.965680        5.822716    4.931565    1.447013    0.111911    7.498068
    0.184080    0.901534    0.038828   -0.592432   -4.108430       -6.052471        6.118567    5.037257    1.494646    0.111911    7.498068
    0.186567    0.900711    0.049163   -0.516082   -4.018694       -4.265803        6.407418    5.142864    1.542183    0.111911    7.498068
    0.189055    0.899709    0.058090   -0.441494   -3.899163       -2.632360        6.687643    5.248364    1.589601    0.111911    7.498068
    0.191542    0.898554    0.065647   -0.369181   -3.753478       -1.170375        6.958006    5.353738    1.636883    0.111911    7.498068
    0.194030    0.897270    0.071879   -0.299596   -3.585411        0.109581        7.217643    5.458969    1.684016    0.111911    7.498068
    0.196517    0.895883    0.076842   -0.233126   -3.398736        1.203518        7.466018    5.564042    1.730989    0.111911    7.498068
    0.199005    0.894414    0.080597   -0.170095   -3.197119        2.112796        7.702882    5.668949    1.777797    0.111911    7.498068
    0.201493    0.892887    0.083210   -0.110768   -2.984043        2.842912        7.928229    5.773679    1.824436    0.111911    7.498068
    0.203980    0.891320    0.084753   -0.055347   -2.762746        3.402372        8.142246    5.878228    1.870906    0.111911    7.498068
    0.206468    0.889735    0.085300   -0.003983   -2.536197        3.801711        8.345277    5.982592    1.917207    0.111911    7.498068
    0.208955    0.888148    0.084928    0.043223   -2.307071        4.052681        8.537779    6.086770    1.963343    0.111911    7.498068
    0.211443    0.886576    0.083714    0.086219   -2.077750        4.167606        8.720295    6.190763    2.009318    0.111911    7.498068
    0.213930    0.885033    0.081738    0.124991   -1.850329        4.158893        8.893424    6.294573    2.055139    0.111911    7.498068
    0.216418    0.883534    0.079078    0.159563   -1.626632        4.038682        9.057801    6.398205    2.100810    0.111911    7.498068
    0.218905    0.882090    0.075811    0.189990   -1.408224        3.818597        9.214076    6.501664    2.146340    0.111911    7.498068
    0.221393    0.880712    0.072015    0.216357   -1.196439        3.509599        9.362907    6.604957    2.191737    0.111911    7.498068
    0.223881    0.879409    0.067765    0.238773   -0.992394        3.121899        9.504940    6.708094    2.237009    0.111911    7.498068
    0.226368    0.878189    0.063132    0.257368   -0.797013        2.664926        9.640814    6.811083    2.282165    0.111911    7.498068
    0.228856    0.877057    0.058187    0.272292   -0.611046        2.147331        9.771143    6.913933    2.327213    0.111911    7.498068
    0.231343    0.876021    0.052996    0.283708   -0.435090        1.577012        9.896524    7.016657    2.372164    0.111911    7.498068
    0.233831    0.875083    0.047624    0.291795   -0.269602        0.961166       10.017525    7.119265    2.417026    0.111911    7.498068
    0.236318    0.874246    0.042131    0.296738   -0.114919        0.306339       10.134693    7.221769    2.461808    0.111911    7.498068
    0.238806    0.873512    0.036573    0.298735    0.028731       -0.381515       10.248546    7.324181    2.506521    0.111911    7.498068
