           t           r         psi          cs          qs               p             sig           A           V          Q2           S
    0.000000   -0.000000   -1.570796   -1.407740    0.000000        7.548643       -3.598317   -0.000000    0.000000    0.221102    5.927737
    0.002488    0.014745   -1.550039   -1.407635   -0.019039        7.548642       -3.598359    0.000683    0.000000    0.221102    5.927737
    0.004975    0.029483   -1.529284   -1.407319   -0.038071        7.548639       -3.598400    0.002732    0.000001    0.221102    5.927737
    0.007463    0.044208   -1.508536   -1.406793   -0.057091        7.548633       -3.598441    0.006146    0.000004    0.221102    5.927737
    0.009950    0.058915   -1.487797   -1.406056   -0.076091        7.548625       -3.598481    0.010923    0.000013    0.221102    5.927737
    0.012438    0.073596   -1.467071   -1.405109   -0.095063        7.548615       -3.598521    0.017062    0.000033    0.221102    5.927737
    0.014925    0.088245   -1.446360   -1.403952   -0.114002        7.548602       -3.598561    0.024559    0.000067    0.221102    5.927737
    0.017413    0.102857   -1.425668   -1.402585   -0.132899        7.548587       -3.598599    0.033412    0.000125    0.221102    5.927737
    0.019900    0.117424   -1.404997   -1.401009   -0.151748        7.548568       -3.598638    0.043617    0.000212    0.221102    5.927737
    0.022388    0.131942   -1.384351   -1.399224   -0.170542        7.548547       -3.598675    0.055170    0.000339    0.221102    5.927737
    0.024876    0.146403   -1.363733   -1.397229   -0.189274        7.548523       -3.598713    0.068064    0.000514    0.221102    5.927737
    0.027363    0.160801   -1.343146   -1.395027   -0.207937        7.548497       -3.598750    0.082296    0.000751    0.221102    5.927737
    0.029851    0.175131   -1.322593   -1.392616   -0.226523        7.548467       -3.598786    0.097858    0.001059    0.221102    5.927737
    0.032338    0.189387   -1.302077   -1.389998   -0.245027        7.548433       -3.598822    0.114745    0.001453    0.221102    5.927737
    0.034826    0.203562   -1.281602   -1.387174   -0.263440        7.548397       -3.598858    0.132949    0.001946    0.221102    5.927737
    0.037313    0.217651   -1.261169   -1.384143   -0.281756        7.548357       -3.598893    0.152462    0.002553    0.221102    5.927737
    0.039801    0.231649   -1.240783   -1.380906   -0.299969        7.548314       -3.598927    0.173277    0.003289    0.221102    5.927737
    0.042289    0.245549   -1.220445   -1.377465   -0.318071        7.548267       -3.598961    0.195383    0.004170    0.221102    5.927737
    0.044776    0.259347   -1.200160   -1.373820   -0.336055        7.548216       -3.598995    0.218773    0.005212    0.221102    5.927737
    0.047264    0.273036   -1.179931   -1.369971   -0.353915        7.548161       -3.599028    0.243437    0.006432    0.221102    5.927737
    0.049751    0.286612   -1.159759   -1.365920   -0.371644        7.548102       -3.599061    0.269363    0.007849    0.221102    5.927737
    0.052239    0.300069   -1.139649   -1.361667   -0.389236        7.548039       -3.599093    0.296542    0.009479    0.221102    5.927737
    0.054726    0.313403   -1.119603   -1.357214   -0.406682        7.547972       -3.599125    0.324962    0.011341    0.221102    5.927737
    0.057214    0.326607   -1.099624   -1.352561   -0.423978        7.547901       -3.599157    0.354611    0.013454    0.221102    5.927737
    0.059701    0.339679   -1.079715   -1.347710   -0.441115        7.547824       -3.599188    0.385478    0.015834    0.221102    5.927737
    0.062189    0.352612   -1.059880   -1.342661   -0.458089        7.547744       -3.599218    0.417549    0.018501    0.221102    5.927737
    0.064677    0.365402   -1.040120   -1.337416   -0.474891        7.547658       -3.599248    0.450812    0.021473    0.221102    5.927737
    0.067164    0.378046   -1.020438   -1.331975   -0.491516        7.547568       -3.599277    0.485253    0.024768    0.221102    5.927737
    0.069652    0.390538   -1.000839   -1.326341   -0.507957        7.547472       -3.599306    0.520859    0.028404    0.221102    5.927737
    0.072139    0.402874   -0.981324   -1.320513   -0.524208        7.547371       -3.599335    0.557614    0.032399    0.221102    5.927737
    0.074627    0.415050   -0.961896   -1.314495   -0.540262        7.547265       -3.599362    0.595506    0.036769    0.221102    5.927737
    0.077114    0.427063   -0.942559   -1.308286   -0.556113        7.547154       -3.599390    0.634518    0.041533    0.221102    5.927737
