           t           r         psi          cs          qs               p             sig           A           V          Q2           S
    0.000000   -0.000000   -1.570796   -1.182799    0.000000        5.196958       -2.956535    0.000000   -0.000000    0.031200    7.492437
    0.002488    0.018636   -1.548752   -1.182682   -0.016746        5.196956       -2.956624    0.001091    0.000000    0.031200    7.492437
    0.004975    0.037264   -1.526712   -1.182331   -0.033486        5.196951       -2.956713    0.004364    0.000002    0.031200    7.492437
    0.007463    0.055873   -1.504681   -1.181746   -0.050211        5.196941       -2.956800    0.009818    0.000009    0.031200    7.492437
    0.009950    0.074455   -1.482663   -1.180927   -0.066912        5.196927       -2.956887    0.017449    0.000029    0.031200    7.492437
    0.012438    0.093001   -1.460663   -1.179874   -0.083581        5.196908       -2.956973    0.027255    0.000070    0.031200    7.492437
    0.014925    0.111502   -1.438684   -1.178589   -0.100208        5.196884       -2.957059    0.039230    0.000144    0.031200    7.492437
    0.017413    0.129949   -1.416731   -1.177070   -0.116786        5.196855       -2.957144    0.053368    0.000267    0.031200    7.492437
    0.019900    0.148333   -1.394809   -1.175320   -0.133304        5.196821       -2.957228    0.069663    0.000454    0.031200    7.492437
    0.022388    0.166646   -1.372922   -1.173337   -0.149756        5.196780       -2.957312    0.088106    0.000725    0.031200    7.492437
    0.024876    0.184879   -1.351073   -1.171124   -0.166131        5.196734       -2.957396    0.108690    0.001101    0.031200    7.492437
    0.027363    0.203023   -1.329269   -1.168681   -0.182421        5.196681       -2.957480    0.131403    0.001605    0.031200    7.492437
    0.029851    0.221070   -1.307511   -1.166008   -0.198618        5.196621       -2.957563    0.156236    0.002264    0.031200    7.492437
    0.032338    0.239012   -1.285806   -1.163107   -0.214713        5.196553       -2.957647    0.183176    0.003104    0.031200    7.492437
    0.034826    0.256840   -1.264157   -1.159978   -0.230697        5.196478       -2.957730    0.212211    0.004155    0.031200    7.492437
    0.037313    0.274546   -1.242568   -1.156624   -0.246563        5.196394       -2.957814    0.243326    0.005446    0.031200    7.492437
    0.039801    0.292123   -1.221044   -1.153044   -0.262301        5.196301       -2.957897    0.276508    0.007011    0.031200    7.492437
    0.042289    0.309562   -1.199589   -1.149241   -0.277904        5.196199       -2.957981    0.311739    0.008882    0.031200    7.492437
    0.044776    0.326857   -1.178207   -1.145215   -0.293362        5.196086       -2.958065    0.349005    0.011093    0.031200    7.492437
    0.047264    0.344000   -1.156902   -1.140969   -0.308669        5.195962       -2.958150    0.388287    0.013680    0.031200    7.492437
    0.049751    0.360983   -1.135678   -1.136503   -0.323815        5.195827       -2.958235    0.429567    0.016679    0.031200    7.492437
    0.052239    0.377800   -1.114539   -1.131820   -0.338792        5.195679       -2.958320    0.472826    0.020125    0.031200    7.492437
    0.054726    0.394444   -1.093490   -1.126920   -0.353593        5.195518       -2.958407    0.518045    0.024055    0.031200    7.492437
    0.057214    0.410908   -1.072533   -1.121807   -0.368210        5.195342       -2.958493    0.565202    0.028507    0.031200    7.492437
    0.059701    0.427185   -1.051675   -1.116481   -0.382634        5.195150       -2.958581    0.614277    0.033517    0.031200    7.492437
    0.062189    0.443271   -1.030917   -1.110945   -0.396859        5.194942       -2.958670    0.665246    0.039121    0.031200    7.492437
    0.064677    0.459157   -1.010265   -1.105201   -0.410875        5.194716       -2.958759    0.718088    0.045357    0.031200    7.492437
    0.067164    0.474840   -0.989721   -1.099250   -0.424677        5.194470       -2.958850    0.772778    0.052259    0.031200    7.492437
    0.069652    0.490313   -0.969290   -1.093096   -0.438255        5.194204       -2.958942    0.829292    0.059862    0.031200    7.492437
    0.072139    0.505572   -0.948976   -1.086740   -0.451604        5.193915       -2.959035    0.887606    0.068201    0.031200    7.492437
    0.074627    0.520610   -0.928782   -1.080186   -0.464715        5.193602       -2.959129    0.947694    0.077309    0.031200    7.492437
    0.077114    0.535424   -0.908713   -1.073434   -0.477582        5.193263       -2.959225    1.009530    0.087218    0.031200    7.492437
    0.079602    0.550009   -0.888771   -1.066488   -0.490198        5.192895       -2.959322    1.073087    0.097958    0.031200    7.492437
