           t           r         psi          cs          qs               p             sig           A           V          Q2           S
    0.000000   -0.000000   -1.570796    0.874841    0.000000       39.528241       87.145512    0.000000    0.000000    0.201805    5.158609
    0.009804    0.050558   -1.615883    0.923512   -2.459292       40.360771       71.968399    0.008034   -0.000005    0.201805    5.158609
    0.019608    0.101005   -1.665532    1.050821   -4.250745       43.125641       57.417740    0.032120   -0.000075    0.201805    5.158609
    0.029412    0.151193   -1.723056    1.230266   -5.351191       48.360213       43.439868    0.072200   -0.000398    0.201805    5.158609
    0.039216    0.200895   -1.790306    1.429032   -5.516829       56.812575       29.991052    0.128158   -0.001326    0.201805    5.158609
    0.049020    0.249793   -1.867143    1.600001   -4.353108       69.410316       17.039354    0.199791   -0.003409    0.201805    5.158609
    0.058824    0.297497   -1.950574    1.677105   -1.410183       87.157752        4.567012    0.286785   -0.007391    0.201805    5.158609
    0.068627    0.343626   -2.033780    1.575766    3.672373      110.936053       -7.426498    0.388695   -0.014120    0.201805    5.158609
    0.078431    0.387991   -2.105349    1.201050   10.971176      141.203379      -18.920182    0.504984   -0.024365    0.201805    5.158609
    0.088235    0.430849   -2.149176    0.466431   20.055820      177.627996      -29.864056    0.635116   -0.038539    0.201805    5.158609
    0.098039    0.473113   -2.145629   -0.674665   29.758588      218.672924      -40.163306    0.778740   -0.056376    0.201805    5.158609
    0.107843    0.516333   -2.074632   -2.185191   37.964594      261.023150      -49.643613    0.935899   -0.076521    0.201805    5.158609
    0.117647    0.562167   -1.921078   -3.899462   41.620821      298.632649      -57.979773    1.107171   -0.095844    0.201805    5.158609
    0.127451    0.611205   -1.681898   -5.510445   37.569850      321.635097      -64.562882    1.293527   -0.108500    0.201805    5.158609
    0.137255    0.661537   -1.371891   -6.638288   24.633724      317.265536      -68.297597    1.495763   -0.105729    0.201805    5.158609
    0.147059    0.708424   -1.023805   -6.981216    5.572242      277.385985      -67.443133    1.713599   -0.078476    0.201805    5.158609
    0.156863    0.746230   -0.680506   -6.457672  -13.569452      212.396367      -59.921213    1.945024   -0.022927    0.201805    5.158609
    0.166667    0.771540   -0.382364   -5.243435  -26.715278      152.348634      -44.569913    2.186519    0.056210    0.201805    5.158609
    0.176471    0.784638   -0.155875   -3.689476  -31.026536      119.319813      -22.570287    2.434065    0.149145    0.201805    5.158609
    0.186275    0.788464   -0.008559   -2.167868  -27.793940      107.146762        2.915975    2.684203    0.247225    0.201805    5.158609
    0.196078    0.786689    0.068385   -0.936166  -20.561830       97.174219       28.736847    2.934573    0.345773    0.201805    5.158609
    0.205882    0.782439    0.092774   -0.094261  -12.655350       77.516854       53.093701    3.183916    0.443250    0.201805    5.158609
    0.215686    0.777871    0.084163    0.379297   -6.042925       45.558363       75.507748    3.431813    0.539550    0.201805    5.158609
    0.225490    0.774208    0.059221    0.567736   -1.418036        3.489779       96.247866    3.678382    0.634956    0.201805    5.158609
    0.235294    0.771956    0.029889    0.568712    1.309736      -45.134869      115.859709    3.924004    0.729787    0.201805    5.158609
    0.245098    0.771136    0.003407    0.467429    2.569620      -96.922317      134.912861    4.169142    0.824325    0.201805    5.158609
    0.254902    0.771503   -0.016735    0.326426    2.849574     -149.114537      153.893806    4.414217    0.918826    0.201805    5.158609
    0.264706    0.772705   -0.029622    0.185475    2.563724     -199.652931      173.170955    4.659551    1.013504    0.201805    5.158609
    0.274510    0.774386   -0.035865    0.066022    2.013933     -247.126177      192.990958    4.905352    1.108517    0.201805    5.158609
    0.284314    0.776243   -0.036812   -0.023353    1.397188     -290.702982      213.488632    5.151722    1.203960    0.201805    5.158609
    0.294118    0.778046   -0.034021   -0.082129    0.828297     -330.064338      234.703789    5.398679    1.299860    0.201805    5.158609
    0.303922    0.779645   -0.028956   -0.114198    0.363547     -365.323285      256.602063    5.646179    1.396197    0.201805    5.158609
    0.313725    0.780957   -0.022823   -0.125346    0.020498     -396.924109      279.097454    5.894143    1.492911    0.201805    5.158609
    0.323529    0.781951   -0.016527   -0.121649   -0.206746     -425.526382      302.074233    6.142474    1.589925    0.201805    5.158609
    0.333333    0.782636   -0.010676   -0.108569   -0.336333     -451.888926      325.406020    6.391071    1.687157    0.201805    5.158609
