           t           r         psi          cs          qs               p             sig           A           V          Q2           S
    0.000000   -0.000000   -1.570796   -0.133879    0.000000      -53.778770      183.651961    0.000000    0.000000    0.142872    7.244130
    0.002488    0.018020   -1.568386   -0.133546   -0.052497      -53.795463      177.077096    0.001020    0.000000    0.142872    7.244130
    0.004975    0.036040   -1.565989   -0.132325   -0.128746      -53.847267      170.587300    0.004081    0.000000    0.142872    7.244130
    0.007463    0.054060   -1.563624   -0.129848   -0.231956      -53.935974      164.178386    0.009181    0.000001    0.142872    7.244130
    0.009950    0.072080   -1.561319   -0.125694   -0.366124      -54.062887      157.846270    0.016323    0.000003    0.142872    7.244130
    0.012438    0.090099   -1.559107   -0.119373   -0.536024      -54.228828      151.586971    0.025504    0.000007    0.142872    7.244130
    0.014925    0.108118   -1.557033   -0.110316   -0.747190      -54.434002      145.396613    0.036725    0.000014    0.142872    7.244130
    0.017413    0.126136   -1.555152   -0.097867   -1.005892      -54.677782      139.271427    0.049987    0.000025    0.142872    7.244130
    0.019900    0.144154   -1.553531   -0.081266   -1.319093      -54.958424      133.207756    0.065289    0.000043    0.142872    7.244130
    0.022388    0.162171   -1.552253   -0.059641   -1.694379      -55.272709      127.202061    0.082630    0.000066    0.142872    7.244130
    0.024876    0.180188   -1.551417   -0.032002   -2.139844      -55.615488      121.250924    0.102012    0.000098    0.142872    7.244130
    0.027363    0.198205   -1.551142    0.002768   -2.663934      -55.979122      115.351059    0.123434    0.000138    0.142872    7.244130
    0.029851    0.216222   -1.551567    0.045915   -3.275221      -56.352790      109.499317    0.146895    0.000185    0.142872    7.244130
    0.032338    0.234239   -1.552856    0.098816   -3.982106      -56.721646      103.692699    0.172397    0.000239    0.142872    7.244130
    0.034826    0.252256   -1.555196    0.162967   -4.792438      -57.065792       97.928370    0.199938    0.000295    0.142872    7.244130
    0.037313    0.270275   -1.558806    0.239974   -5.713029      -57.359048       92.203671    0.229520    0.000349    0.142872    7.244130
    0.039801    0.288294   -1.563933    0.331530   -6.749059      -57.567468       86.516143    0.261142    0.000391    0.142872    7.244130
    0.042289    0.306314   -1.570853    0.439379   -7.903363      -57.647590       80.863547    0.294804    0.000408    0.142872    7.244130
