           t           r         psi          cs          qs               p             sig           A           V          Q2           S
    0.000000    0.000000   -1.570796   -1.263773    0.000000        5.571654       -2.961192   -0.000000    0.000000    0.129783    7.033224
    0.002488    0.017494   -1.548687   -1.263663   -0.016733        5.571652       -2.961258    0.000962    0.000000    0.129783    7.033224
    0.004975    0.034980   -1.526581   -1.263334   -0.033461        5.571647       -2.961323    0.003846    0.000001    0.129783    7.033224
    0.007463    0.052448   -1.504482   -1.262785   -0.050177        5.571639       -2.961388    0.008651    0.000008    0.129783    7.033224
    0.009950    0.069891   -1.482396   -1.262017   -0.066873        5.571628       -2.961452    0.015376    0.000024    0.129783    7.033224
    0.012438    0.087300   -1.460324   -1.261029   -0.083541        5.571612       -2.961515    0.024016    0.000058    0.129783    7.033224
    0.014925    0.104666   -1.438272   -1.259823   -0.100175        5.571593       -2.961578    0.034568    0.000120    0.129783    7.033224
    0.017413    0.121982   -1.416243   -1.258398   -0.116768        5.571570       -2.961640    0.047026    0.000221    0.129783    7.033224
    0.019900    0.139238   -1.394240   -1.256754   -0.133312        5.571542       -2.961701    0.061384    0.000377    0.129783    7.033224
    0.022388    0.156426   -1.372269   -1.254893   -0.149800        5.571510       -2.961762    0.077636    0.000601    0.129783    7.033224
    0.024876    0.173539   -1.350331   -1.252814   -0.166225        5.571473       -2.961823    0.095772    0.000913    0.129783    7.033224
    0.027363    0.190568   -1.328433   -1.250518   -0.182579        5.571431       -2.961883    0.115786    0.001332    0.129783    7.033224
    0.029851    0.207505   -1.306576   -1.248006   -0.198856        5.571384       -2.961942    0.137667    0.001879    0.129783    7.033224
    0.032338    0.224342   -1.284765   -1.245278   -0.215048        5.571332       -2.962001    0.161403    0.002576    0.129783    7.033224
    0.034826    0.241071   -1.263003   -1.242336   -0.231149        5.571273       -2.962060    0.186985    0.003448    0.129783    7.033224
    0.037313    0.257686   -1.241295   -1.239178   -0.247151        5.571209       -2.962118    0.214400    0.004520    0.129783    7.033224
    0.039801    0.274178   -1.219644   -1.235808   -0.263047        5.571138       -2.962177    0.243635    0.005819    0.129783    7.033224
    0.042289    0.290539   -1.198054   -1.232225   -0.278831        5.571061       -2.962234    0.274675    0.007372    0.129783    7.033224
    0.044776    0.306764   -1.176528   -1.228430   -0.294495        5.570976       -2.962292    0.307507    0.009208    0.129783    7.033224
    0.047264    0.322844   -1.155071   -1.224425   -0.310032        5.570884       -2.962350    0.342114    0.011355    0.129783    7.033224
    0.049751    0.338772   -1.133686   -1.220210   -0.325436        5.570784       -2.962407    0.378480    0.013845    0.129783    7.033224
    0.052239    0.354543   -1.112376   -1.215786   -0.340699        5.570676       -2.962464    0.416589    0.016706    0.129783    7.033224
    0.054726    0.370149   -1.091145   -1.211155   -0.355816        5.570559       -2.962521    0.456422    0.019970    0.129783    7.033224
    0.057214    0.385583   -1.069997   -1.206319   -0.370778        5.570433       -2.962577    0.497962    0.023667    0.129783    7.033224
