           t           r         psi          cs          qs               p             sig           A           V          Q2           S
    0.000000    0.000000   -1.570796   -0.950347    0.000000   -12676.533391     6677.675267    0.000000   -0.000000    0.085391    3.621934
    0.009804    0.035502   -1.537025   -0.952200    0.107549   -12677.043525     6662.703489    0.003961    0.000001    0.085391    3.621934
    0.019608    0.070964   -1.503163   -0.955080    0.122857   -12678.670442     6648.043317    0.015839    0.000019    0.085391    3.621934
    0.029412    0.106345   -1.469194   -0.958147    0.129359   -12681.546757     6633.652430    0.035621    0.000096    0.085391    3.621934
    0.039216    0.141603   -1.435115   -0.961356    0.135275   -12685.816291     6619.489175    0.063283    0.000303    0.085391    3.621934
    0.049020    0.176696   -1.400919   -0.964729    0.141878   -12691.643226     6605.512600    0.098794    0.000738    0.085391    3.621934
    0.058824    0.211585   -1.366599   -0.968300    0.149561   -12699.217758     6591.682495    0.142113    0.001527    0.085391    3.621934
    0.068627    0.246225   -1.332149   -0.972108    0.158565   -12708.761666     6577.959421    0.193190    0.002818    0.085391    3.621934
    0.078431    0.280576   -1.297558   -0.976198    0.169110   -12720.534590     6564.304753    0.251963    0.004786    0.085391    3.621934
    0.088235    0.314595   -1.262817   -0.980621    0.181434   -12734.841420     6550.680741    0.318364    0.007626    0.085391    3.621934
    0.098039    0.348239   -1.227912   -0.985436    0.195813   -12752.041164     6537.050594    0.392314    0.011554    0.085391    3.621934
    0.107843    0.381465   -1.192827   -0.990712    0.212571   -12772.557677     6523.378625    0.473724    0.016803    0.085391    3.621934
    0.117647    0.414230   -1.157547   -0.996530    0.232095   -12796.892712     6509.630467    0.562497    0.023620    0.085391    3.621934
    0.127451    0.446490   -1.122048   -1.002982    0.254849   -12825.641824     6495.773401    0.658525    0.032265    0.085391    3.621934
    0.137255    0.478202   -1.086308   -1.010180    0.281391   -12859.513765     6481.776851    0.761690    0.043007    0.085391    3.621934
    0.147059    0.509320   -1.050296   -1.018255    0.312393   -12899.354115     6467.613104    0.871865    0.056120    0.085391    3.621934
    0.156863    0.539800   -1.013981   -1.027362    0.348660   -12946.173965     6453.258368    0.988912    0.071882    0.085391    3.621934
    0.166667    0.569595   -0.977320   -1.037686    0.391160   -13001.184525     6438.694286    1.112684    0.090569    0.085391    3.621934
    0.176471    0.598658   -0.940269   -1.049448    0.441045   -13065.838391     6423.910121    1.243023    0.112453    0.085391    3.621934
    0.186275    0.626941   -0.902770   -1.062912    0.499670   -13141.877828     6408.905866    1.379760    0.137798    0.085391    3.621934
    0.196078    0.654394   -0.864759   -1.078389    0.568607   -13231.389467     6393.696692    1.522716    0.166857    0.085391    3.621934
    0.205882    0.680964   -0.826157   -1.096251    0.649623   -13336.862750     6378.319272    1.671699    0.199865    0.085391    3.621934
    0.215686    0.706597   -0.786872   -1.116931    0.744595   -13461.245435     6362.840780    1.826507    0.237040    0.085391    3.621934
    0.225490    0.731236   -0.746795   -1.140931    0.855321   -13607.981845     6347.371674    1.986924    0.278577    0.085391    3.621934
    0.235294    0.754818   -0.705799   -1.168809    0.983113   -13781.005526     6332.083774    2.152721    0.324640    0.085391    3.621934
    0.245098    0.777279   -0.663735   -1.201153    1.128006   -13984.633260     6317.235687    2.323656    0.375364    0.085391    3.621934
    0.254902    0.798545   -0.620435   -1.238520    1.287341   -14223.265073     6303.208100    2.499471    0.430843    0.085391    3.621934
    0.264706    0.818541   -0.575713   -1.281307    1.453303   -14500.727065     6290.551749    2.679890    0.491129    0.085391    3.621934
    0.274510    0.837181   -0.529375   -1.329512    1.608980   -14818.995327     6280.050151    2.864620    0.556223    0.085391    3.621934
    0.284314    0.854373   -0.481238   -1.382329    1.722624   -15175.924253     6272.796205    3.053350    0.626067    0.085391    3.621934
    0.294118    0.870020   -0.431175   -1.437518    1.740771   -15561.546091     6270.273718    3.245745    0.700531    0.085391    3.621934
    0.303922    0.884020   -0.379173   -1.490551    1.583374   -15952.724943     6274.418111    3.441449    0.779405    0.085391    3.621934
    0.313725    0.896276   -0.325434   -1.533720    1.148813   -16306.873949     6287.602085    3.640084    0.862388    0.085391    3.621934
    0.323529    0.906702   -0.270499   -1.555753    0.341354   -16557.598437     6312.458051    3.841250    0.949073    0.085391    3.621934
    0.333333    0.915241   -0.215360   -1.542916   -0.870572   -16618.222287     6351.440111    4.044533    1.038954    0.085391    3.621934
    0.343137    0.921885   -0.161490   -1.482475   -2.383013   -16400.253348     6406.106258    4.249509    1.131439    0.085391    3.621934
    0.352941    0.926691   -0.110720   -1.368092   -3.930782   -15847.206699     6476.310494    4.455761    1.225886    0.085391    3.621934
    0.362745    0.929788   -0.064919   -1.204400   -5.167865   -14968.665893     6559.732833    4.662891    1.321658    0.085391    3.621934
    0.372549    0.931373   -0.025585   -1.007154   -5.828775   -13849.250224     6652.156882    4.870539    1.418185    0.085391    3.621934
    0.382353    0.931691    0.006468   -0.798064   -5.849305   -12621.143739     6748.475702    5.078395    1.514999    0.085391    3.621934
    0.392157    0.931001    0.031197   -0.597601   -5.356236   -11417.952272     6843.907316    5.286204    1.611757    0.085391    3.621934
    0.401961    0.929556    0.049183   -0.420035   -4.562524   -10339.065264     6934.836421    5.493771    1.708228    0.085391    3.621934
