           t           r         psi          cs          qs               p             sig           A           V          Q2           S
    0.000000    0.000000   -1.570796    0.062186    0.000000      -46.174374      126.897254    0.000000    0.000000    0.181368    5.954221
    0.002488    0.014811   -1.571730    0.064727   -0.457396      -46.169398      122.072877    0.000689   -0.000000    0.181368    5.954221
    0.004975    0.029623   -1.572739    0.072360   -0.917678      -46.153599      117.306092    0.002757   -0.000000    0.181368    5.954221
    0.007463    0.044434   -1.573899    0.085172   -1.388702      -46.125161      112.595068    0.006203   -0.000000    0.181368    5.954221
    0.009950    0.059246   -1.575288    0.103341   -1.877390      -46.081330      107.938032    0.011027   -0.000001    0.181368    5.954221
    0.012438    0.074057   -1.576988    0.127124   -2.389836      -46.018264      103.333274    0.017230   -0.000002    0.181368    5.954221
    0.014925    0.088868   -1.579083    0.156848   -2.931365      -45.930885       98.779148    0.024811   -0.000004    0.181368    5.954221
    0.017413    0.103679   -1.581666    0.192899   -3.506557      -45.812716       94.274071    0.033771   -0.000008    0.181368    5.954221
    0.019900    0.118489   -1.584831    0.235715   -4.119222      -45.655691       89.816532    0.044109   -0.000015    0.181368    5.954221
    0.022388    0.133299   -1.588684    0.285772   -4.772357      -45.449936       85.405091    0.055825   -0.000027    0.181368    5.954221
    0.024876    0.148107   -1.593335    0.343577   -5.468061      -45.183524       81.038385    0.068919   -0.000046    0.181368    5.954221
    0.027363    0.162914   -1.598902    0.409653   -6.207427      -44.842197       76.715129    0.083392   -0.000074    0.181368    5.954221
    0.029851    0.177718   -1.605513    0.484529   -6.990413      -44.409053       72.434124    0.099242   -0.000117    0.181368    5.954221
    0.032338    0.192519   -1.613302    0.568719   -7.815681      -43.864209       68.194261    0.116470   -0.000178    0.181368    5.954221
    0.034826    0.207314   -1.622409    0.662709   -8.680428      -43.184424       63.994526    0.135075   -0.000266    0.181368    5.954221
    0.037313    0.222102   -1.632984    0.766937   -9.580195      -42.342699       59.834008    0.155056   -0.000388    0.181368    5.954221
    0.039801    0.236879   -1.645180    0.881766  -10.508660      -41.307846       55.711905    0.176413   -0.000555    0.181368    5.954221
    0.042289    0.251641   -1.659158    1.007465  -11.457435      -40.044048       51.627531    0.199145   -0.000781    0.181368    5.954221
    0.044776    0.266384   -1.675079    1.144180  -12.415856      -38.510399       47.580327    0.223250   -0.001081    0.181368    5.954221
    0.047264    0.281101   -1.693106    1.291901  -13.370778      -36.660463       43.569869    0.248725   -0.001475    0.181368    5.954221
    0.049751    0.295783   -1.713402    1.450434  -14.306393      -34.441848       39.595878    0.275569   -0.001987    0.181368    5.954221
    0.052239    0.310419   -1.736124    1.619367  -15.204076      -31.795843       35.658229    0.303777   -0.002642    0.181368    5.954221
    0.054726    0.324997   -1.761421    1.798033  -16.042267      -28.657143       31.756966    0.333345   -0.003474    0.181368    5.954221
    0.057214    0.339499   -1.789430    1.985473  -16.796419      -24.953708       27.892305    0.364265   -0.004518    0.181368    5.954221
    0.059701    0.353907   -1.820273    2.180407  -17.439020      -20.606815       24.064649    0.396532   -0.005815    0.181368    5.954221
    0.062189    0.368197   -1.854049    2.381188  -17.939712      -15.531364       20.274590    0.430133   -0.007412    0.181368    5.954221
    0.064677    0.382340   -1.890830    2.585779  -18.265524       -9.636525       16.522918    0.465058   -0.009359    0.181368    5.954221
    0.067164    0.396304   -1.930655    2.791718  -18.381248       -2.826787       12.810615    0.501291   -0.011710    0.181368    5.954221
    0.069652    0.410052   -1.973522    2.996094  -18.249969        4.996494        9.138849    0.538814   -0.014525    0.181368    5.954221
    0.072139    0.423542   -2.019384    3.195529  -17.833767       13.932990        5.508954    0.577605   -0.017864    0.181368    5.954221
    0.074627    0.436728   -2.068139    3.386164  -17.094593       24.080696        1.922407    0.617637   -0.021786    0.181368    5.954221
    0.077114    0.449559   -2.119627    3.563662  -15.995314       35.532622       -1.619222    0.658881   -0.026351    0.181368    5.954221
    0.079602    0.461982   -2.173617    3.723214  -14.500917       48.372948       -5.114324    0.701300   -0.031616    0.181368    5.954221
    0.082090    0.473942   -2.229805    3.859562  -12.579815       62.672791       -8.561325    0.744854   -0.037628    0.181368    5.954221
    0.084577    0.485384   -2.287806    3.967034  -10.205226       78.485815      -11.958778    0.789497   -0.044427    0.181368    5.954221
    0.087065    0.496254   -2.347148    4.039589   -7.356519       95.844049      -15.305462    0.835179   -0.052043    0.181368    5.954221
    0.089552    0.506504   -2.407268    4.070888   -4.020468      114.754299      -18.600489    0.881844   -0.060488    0.181368    5.954221
    0.092040    0.516092   -2.467504    4.054365   -0.192297      135.195660      -21.843404    0.929432   -0.069762    0.181368    5.954221
    0.094527    0.524986   -2.527101    3.983319    4.123557      157.118547      -25.034272    0.977881   -0.079845    0.181368    5.954221
    0.097015    0.533167   -2.585200    3.851022    8.913021      180.445607      -28.173731    1.027124   -0.090705    0.181368    5.954221
    0.099502    0.540632   -2.640844    3.650837   14.152300      205.074670      -31.262999    1.077095   -0.102291    0.181368    5.954221
    0.101990    0.547397   -2.692981    3.376349   19.808026      230.883645      -34.303830    1.127729   -0.114544    0.181368    5.954221
    0.104478    0.553495   -2.740465    3.021520   25.837425      257.736961      -37.298398    1.178960   -0.127394    0.181368    5.954221
    0.106965    0.558986   -2.782064    2.580871   32.188103      285.492854      -40.249124    1.230730   -0.140767    0.181368    5.954221
    0.109453    0.563948   -2.816471    2.049705   38.796906      314.010540      -43.158434    1.282986   -0.154589    0.181368    5.954221
    0.111940    0.568487   -2.842317    1.424399   45.587119      343.156155      -46.028470    1.335683   -0.168791    0.181368    5.954221
    0.114428    0.572729   -2.858190    0.702788   52.463219      372.806236      -48.860756    1.388787   -0.183308    0.181368    5.954221
    0.116915    0.576824   -2.862659   -0.115303   59.302494      402.847570      -51.655836    1.442278   -0.198082    0.181368    5.954221
    0.119403    0.580945   -2.854310   -1.027367   65.943288      433.172317      -54.412879    1.496150   -0.213058    0.181368    5.954221
    0.121891    0.585284   -2.831791   -2.027318   72.170651      463.667501      -57.129262    1.550414   -0.228184    0.181368    5.954221
    0.124378    0.590048   -2.793873   -3.104416   77.701909      494.198276      -59.800103    1.605100   -0.243397    0.181368    5.954221
    0.126866    0.595451   -2.739529   -4.242122   82.177174      524.584886      -62.417731    1.660258   -0.258613    0.181368    5.954221
    0.129353    0.601710   -2.668024   -5.417082   85.162547      554.574130      -64.971068    1.715956   -0.273715    0.181368    5.954221
    0.131841    0.609023   -2.579025   -6.598603   86.175405      583.807593      -67.444882    1.772285   -0.288531    0.181368    5.954221
    0.134328    0.617557   -2.472706   -7.749070   84.739307      611.791076      -69.818885    1.829350   -0.302819    0.181368    5.954221
    0.136816    0.627417   -2.349838   -8.825708   80.468436      637.872370      -72.066673    1.887270   -0.316250    0.181368    5.954221
    0.139303    0.638628   -2.211847   -9.783873   73.167910      661.237291      -74.154522    1.946171   -0.328403    0.181368    5.954221
    0.141791    0.651114   -2.060804  -10.581548   62.921716      680.935542      -76.040154    2.006175   -0.338767    0.181368    5.954221
    0.144279    0.664683   -1.899355  -11.184226   50.133794      695.946789      -77.671660    2.067394   -0.346775    0.181368    5.954221
    0.146766    0.679036   -1.730572  -11.568993   35.498347      705.291717      -78.986970    2.129915   -0.351844    0.181368    5.954221
    0.149254    0.693789   -1.557769  -11.726798   19.901276      708.181711      -79.914378    2.193794   -0.353440    0.181368    5.954221
    0.151741    0.708509   -1.384288  -11.662420    4.282346      704.185096      -80.374775    2.259047   -0.351148    0.181368    5.954221
    0.154229    0.722757   -1.213310  -11.392447  -10.499227      693.371519      -80.286156    2.325651   -0.344732    0.181368    5.954221
    0.156716    0.736137   -1.047702  -10.942032  -23.760780      676.386483      -79.570647    2.393544   -0.334165    0.181368    5.954221
    0.159204    0.748326   -0.889917  -10.341373  -35.039652      654.414516      -78.163577    2.462629   -0.319634    0.181368    5.954221
    0.161692    0.759095   -0.741942   -9.622612  -44.090243      629.017429      -76.023270    2.532783   -0.301508    0.181368    5.954221
    0.164179    0.768316   -0.605292   -8.817484  -50.851665      601.877563      -73.139459    2.603869   -0.280284    0.181368    5.954221
    0.166667    0.775953   -0.481021   -7.955763  -55.403577      574.515678      -69.538084    2.675738   -0.256524    0.181368    5.954221
    0.169154    0.782047   -0.369765   -7.064350  -57.922459      548.065942      -65.280913    2.748246   -0.230794    0.181368    5.954221
    0.171642    0.786700   -0.271784   -6.166825  -58.644291      523.166636      -60.459780    2.821254   -0.203618    0.181368    5.954221
    0.174129    0.790051   -0.187015   -5.283291  -57.835133      499.977547      -55.186762    2.894632   -0.175448    0.181368    5.954221
    0.176617    0.792264   -0.115125   -4.430405  -55.768976      478.290474      -49.582532    2.968268   -0.146649    0.181368    5.954221
    0.179104    0.793512   -0.055556   -3.621532  -52.711742      457.678573      -43.765281    3.042064   -0.117499    0.181368    5.954221
    0.181592    0.793966   -0.007576   -2.866980  -48.910447      437.636220      -37.841952    3.115937   -0.088195    0.181368    5.954221
    0.184080    0.793789    0.029679   -2.174283  -44.586722      417.681788      -31.902588    3.189822   -0.058869    0.181368    5.954221
    0.186567    0.793135    0.057164   -1.548512  -39.933876      397.417033      -26.017749    3.263668   -0.029601    0.181368    5.954221
    0.189055    0.792140    0.075895   -0.992586  -35.116623      376.550357      -20.238386    3.337435   -0.000431    0.181368    5.954221
    0.191542    0.790927    0.086918   -0.507574  -30.272584      354.896101      -14.597401    3.411099    0.028625    0.181368    5.954221
    0.194030    0.789601    0.091279   -0.092972  -25.514740      332.361170       -9.112114    3.484644    0.057569    0.181368    5.954221
    0.196517    0.788254    0.090011    0.253051  -20.934208      308.927013       -3.787074    3.558065    0.086411    0.181368    5.954221
    0.199005    0.786961    0.084107    0.533424  -16.602918      284.631654        1.383185    3.631361    0.115165    0.181368    5.954221
    0.201493    0.785784    0.074514    0.751977  -12.575972      259.553949        6.411658    3.704543    0.143847    0.181368    5.954221
