           t           r         psi          cs          qs               p             sig           A           V          Q2           S
    0.000000    0.000000   -1.570796   -0.683325    0.000000       36.757024      -12.371914    0.000000   -0.000000    0.172461    7.821034
    0.002488    0.019455   -1.557493   -0.684730    0.192391       36.756067      -12.436945    0.001189    0.000000    0.172461    7.821034
    0.004975    0.038906   -1.544135   -0.688929    0.382947       36.753089      -12.500991    0.004756    0.000001    0.172461    7.821034
    0.007463    0.058350   -1.530668   -0.695886    0.570989       36.747953      -12.564097    0.010701    0.000006    0.172461    7.821034
    0.009950    0.077784   -1.517040   -0.705557    0.755832       36.740519      -12.626304    0.019021    0.000020    0.172461    7.821034
    0.012438    0.097203   -1.503197   -0.717886    0.936792       36.730632      -12.687654    0.029717    0.000049    0.172461    7.821034
    0.014925    0.116604   -1.489090   -0.732807    1.113186       36.718121      -12.748184    0.042785    0.000101    0.172461    7.821034
    0.017413    0.135983   -1.474667   -0.750241    1.284337       36.702790      -12.807932    0.058224    0.000188    0.172461    7.821034
    0.019900    0.155334   -1.459882   -0.770101    1.449573       36.684424      -12.866932    0.076030    0.000323    0.172461    7.821034
    0.022388    0.174653   -1.444687   -0.792289    1.608237       36.662778      -12.925218    0.096199    0.000520    0.172461    7.821034
    0.024876    0.193934   -1.429039   -0.816696    1.759681       36.637581      -12.982819    0.118728    0.000798    0.172461    7.821034
    0.027363    0.213171   -1.412895   -0.843203    1.903275       36.608531      -13.039764    0.143610    0.001177    0.172461    7.821034
    0.029851    0.232358   -1.396217   -0.871682    2.038408       36.575293      -13.096076    0.170842    0.001680    0.172461    7.821034
    0.032338    0.251487   -1.378966   -0.901997    2.164488       36.537495      -13.151779    0.200416    0.002332    0.172461    7.821034
    0.034826    0.270552   -1.361108   -0.934000    2.280948       36.494727      -13.206891    0.232324    0.003164    0.172461    7.821034
    0.037313    0.289543   -1.342613   -0.967539    2.387244       36.446538      -13.261427    0.266558    0.004206    0.172461    7.821034
    0.039801    0.308451   -1.323452   -1.002450    2.482862       36.392433      -13.315397    0.303109    0.005494    0.172461    7.821034
    0.042289    0.327266   -1.303599   -1.038564    2.567315       36.331866      -13.368807    0.341965    0.007067    0.172461    7.821034
