           t           r         psi          cs          qs               p             sig           A           V          Q2           S
    0.000000   -0.000000   -1.570796   -1.337480    0.000000        6.389770       -3.261623    0.000000    0.000000    0.185376    7.996937
    0.009804    0.078258   -1.466006   -1.334790   -0.091386        6.389769       -3.261626    0.019293    0.000040    0.185376    7.996937
    0.019608    0.155659   -1.361638   -1.326736   -0.181900        6.389768       -3.261628    0.076961    0.000625    0.185376    7.996937
    0.029412    0.231372   -1.258110   -1.313364   -0.270676        6.389766       -3.261630    0.172374    0.003099    0.185376    7.996937
    0.039216    0.304606   -1.155836   -1.294751   -0.356857        6.389763       -3.261632    0.304505    0.009520    0.185376    7.996937
    0.049020    0.374638   -1.055224   -1.271005   -0.439600        6.389759       -3.261634    0.471952    0.022420    0.185376    7.996937
    0.058824    0.440827   -0.956670   -1.242266   -0.518085        6.389753       -3.261636    0.672974    0.044514    0.185376    7.996937
    0.068627    0.502624   -0.860559   -1.208705   -0.591520        6.389745       -3.261638    0.905541    0.078403    0.185376    7.996937
    0.078431    0.559586   -0.767262   -1.170524   -0.659148        6.389735       -3.261640    1.167375    0.126310    0.185376    7.996937
    0.088235    0.611378   -0.677132   -1.127959   -0.720253        6.389722       -3.261641    1.456007    0.189868    0.185376    7.996937
    0.098039    0.657775   -0.590503   -1.081274   -0.774172        6.389707       -3.261642    1.768830    0.269993    0.185376    7.996937
    0.107843    0.698660   -0.507685   -1.030769   -0.820301        6.389690       -3.261642    2.103154    0.366835    0.185376    7.996937
    0.117647    0.734016   -0.428967   -0.976769   -0.858104        6.389672       -3.261642    2.456256    0.479811    0.185376    7.996937
    0.127451    0.763919   -0.354607   -0.919633   -0.887124        6.389655       -3.261641    2.825426    0.607694    0.185376    7.996937
    0.137255    0.788527   -0.284838   -0.859748   -0.906985        6.389642       -3.261639    3.208015    0.748753    0.185376    7.996937
    0.147059    0.808068   -0.219858   -0.797526   -0.917409        6.389637       -3.261635    3.601466    0.900910    0.185376    7.996937
    0.156863    0.822828   -0.159833   -0.733406   -0.918215        6.389642       -3.261630    4.003354    1.061900    0.185376    7.996937
    0.166667    0.833141   -0.104895   -0.667851   -0.909336        6.389661       -3.261623    4.411403    1.229417    0.185376    7.996937
    0.176471    0.839373   -0.055137   -0.601346   -0.890815        6.389692       -3.261615    4.823511    1.401236    0.185376    7.996937
    0.186275    0.841915   -0.010614   -0.534396   -0.862823        6.389731       -3.261606    5.237764    1.575310    0.185376    7.996937
    0.196078    0.841174    0.028659   -0.467522   -0.825660        6.389772       -3.261598    5.652444    1.749830    0.185376    7.996937
    0.205882    0.837559    0.062711   -0.401261   -0.779766        6.389808       -3.261589    6.066033    1.923260    0.185376    7.996937
    0.215686    0.831483    0.091609   -0.336165   -0.725725        6.389836       -3.261582    6.477220    2.094350    0.185376    7.996937
    0.225490    0.823348    0.115467   -0.272792   -0.664274        6.389854       -3.261575    6.884889    2.262125    0.185376    7.996937
    0.235294    0.813546    0.134443   -0.211708   -0.596308        6.389862       -3.261570    7.288125    2.425868    0.185376    7.996937
    0.245098    0.802452    0.148738   -0.153478   -0.522879        6.389862       -3.261565    7.686199    2.585092    0.185376    7.996937
    0.254902    0.790424    0.158598   -0.098660   -0.445198        6.389855       -3.261562    8.078564    2.739505    0.185376    7.996937
    0.264706    0.777795    0.164312   -0.047797   -0.364622        6.389843       -3.261559    8.464843    2.888980    0.185376    7.996937
    0.274510    0.764874    0.166209   -0.001401   -0.282636        6.389828       -3.261557    8.844816    3.033525    0.185376    7.996937
    0.284314    0.751942    0.164660    0.040059   -0.200822        6.389811       -3.261555    9.218411    3.173255    0.185376    7.996937
    0.294118    0.739250    0.160068    0.076178   -0.120814        6.389792       -3.261554    9.585684    3.308365    0.185376    7.996937
    0.303922    0.727017    0.152864    0.106634   -0.044241        6.389772       -3.261554    9.946810    3.439115    0.185376    7.996937
    0.313725    0.715430    0.143501    0.131210    0.027337        6.389752       -3.261553   10.302063    3.565807    0.185376    7.996937
    0.323529    0.704637    0.132446    0.149812    0.092501        6.389732       -3.261553   10.651797    3.688776    0.185376    7.996937
    0.333333    0.694755    0.120165    0.162488    0.150043        6.389712       -3.261553   10.996435    3.808372    0.185376    7.996937
    0.343137    0.685861    0.107117    0.169434    0.199023        6.389692       -3.261554   11.336446    3.924957    0.185376    7.996937
    0.352941    0.678000    0.093738    0.170995    0.238814        6.389672       -3.261554   11.672329    4.038890    0.185376    7.996937
    0.362745    0.671183    0.080433    0.167661    0.269111        6.389652       -3.261555   12.004597    4.150523    0.185376    7.996937
    0.372549    0.665390    0.067561    0.160043    0.289935        6.389632       -3.261555   12.333760    4.260196    0.185376    7.996937
    0.382353    0.660578    0.055431    0.148849    0.301590        6.389613       -3.261556   12.660314    4.368229    0.185376    7.996937
    0.392157    0.656677    0.044294    0.134854    0.304621        6.389593       -3.261557   12.984725    4.474918    0.185376    7.996937
    0.401961    0.653604    0.034338    0.118866    0.299751        6.389574       -3.261557   13.307422    4.580531    0.185376    7.996937
    0.411765    0.651260    0.025686    0.101691    0.287816        6.389555       -3.261558   13.628789    4.685310    0.185376    7.996937
    0.421569    0.649541    0.018403    0.084108    0.269709        6.389536       -3.261559   13.949159    4.789462    0.185376    7.996937
    0.431373    0.648339    0.012490    0.066842    0.246327        6.389517       -3.261560   14.268814    4.893162    0.185376    7.996937
    0.441176    0.647548    0.007896    0.050549    0.218536        6.389498       -3.261561   14.587983    4.996554    0.185376    7.996937
    0.450980    0.647069    0.004523    0.035801    0.187145        6.389478       -3.261562   14.906843    5.099748    0.185376    7.996937
    0.460784    0.646811    0.002229    0.023084    0.152897        6.389459       -3.261563   15.225525    5.202829    0.185376    7.996937
    0.470588    0.646696    0.000840    0.012791    0.116463        6.389440       -3.261563   15.544117    5.305853    0.185376    7.996937
    0.480392    0.646661    0.000152    0.005226    0.078452        6.389421       -3.261564   15.862675    5.408855    0.185376    7.996937
    0.490196    0.646659   -0.000056    0.000604    0.039421        6.389402       -3.261565   16.181226    5.511851    0.185376    7.996937
    0.500000    0.646663   -0.000023   -0.000948   -0.000109        6.389383       -3.261566   16.499778    5.614849    0.185376    7.996937
    0.509804    0.646663    0.000011    0.000612   -0.039638        6.389364       -3.261567   16.818331    5.717847    0.185376    7.996937
    0.519608    0.646668   -0.000199    0.005243   -0.078665        6.389345       -3.261568   17.136884    5.820846    0.185376    7.996937
    0.529412    0.646706   -0.000888    0.012815   -0.116668        6.389326       -3.261569   17.455446    5.923850    0.185376    7.996937
    0.539216    0.646825   -0.002280    0.023114   -0.153091        6.389307       -3.261570   17.774045    6.026878    0.185376    7.996937
    0.549020    0.647088   -0.004576    0.035837   -0.187325        6.389288       -3.261571   18.092735    6.129964    0.185376    7.996937
    0.558824    0.647571   -0.007952    0.050587   -0.218699        6.389269       -3.261571   18.411605    6.233166    0.185376    7.996937
    0.568627    0.648366   -0.012549    0.066882   -0.246469        6.389250       -3.261572   18.730787    6.336565    0.185376    7.996937
    0.578431    0.649573   -0.018465    0.084146   -0.269827        6.389231       -3.261573   19.050457    6.440275    0.185376    7.996937
    0.588235    0.651297   -0.025751    0.101725   -0.287906        6.389212       -3.261574   19.370844    6.544437    0.185376    7.996937
    0.598039    0.653646   -0.034405    0.118893   -0.299810        6.389193       -3.261575   19.692231    6.649229    0.185376    7.996937
    0.607843    0.656725   -0.044363    0.134872   -0.304647        6.389173       -3.261576   20.014950    6.754857    0.185376    7.996937
    0.617647    0.660631   -0.055501    0.148855   -0.301582        6.389154       -3.261576   20.339386    6.861562    0.185376    7.996937
    0.627451    0.665449   -0.067631    0.160036   -0.289892        6.389134       -3.261577   20.665967    6.969612    0.185376    7.996937
    0.637255    0.671247   -0.080501    0.167639   -0.269036        6.389115       -3.261578   20.995161    7.079305    0.185376    7.996937
    0.647059    0.678069   -0.093805    0.170956   -0.238707        6.389095       -3.261578   21.327462    7.190960    0.185376    7.996937
    0.656863    0.685936   -0.107180    0.169377   -0.198889        6.389075       -3.261579   21.663380    7.304916    0.185376    7.996937
    0.666667    0.694834   -0.120223    0.162415   -0.149886        6.389055       -3.261579   22.003429    7.421526    0.185376    7.996937
    0.676471    0.704721   -0.132497    0.149723   -0.092329        6.389035       -3.261579   22.348107    7.541150    0.185376    7.996937
    0.686275    0.715517   -0.143545    0.131105   -0.027157        6.389014       -3.261579   22.697884    7.664147    0.185376    7.996937
    0.696078    0.727108   -0.152898    0.106517    0.044420        6.388994       -3.261579   23.053180    7.790870    0.185376    7.996937
    0.705882    0.739343   -0.160093    0.076050    0.120985        6.388975       -3.261578   23.414351    7.921651    0.185376    7.996937
    0.715686    0.752036   -0.164675    0.039923    0.200977        6.388956       -3.261577   23.781671    8.056795    0.185376    7.996937
    0.725490    0.764969   -0.166214   -0.001541    0.282767        6.388939       -3.261576   24.155312    8.196559    0.185376    7.996937
    0.735294    0.777890   -0.164305   -0.047938    0.364722        6.388924       -3.261573   24.535332    8.341140    0.185376    7.996937
    0.745098    0.790518   -0.158580   -0.098799    0.445262        6.388912       -3.261571   24.921657    8.490651    0.185376    7.996937
    0.754902    0.802545   -0.148709   -0.153612    0.522903        6.388905       -3.261567   25.314068    8.645101    0.185376    7.996937
    0.764706    0.813635   -0.134404   -0.211834    0.596291        6.388905       -3.261563   25.712187    8.804361    0.185376    7.996937
    0.774510    0.823434   -0.115419   -0.272907    0.664216        6.388913       -3.261557   26.115466    8.968141    0.185376    7.996937
    0.784314    0.831565   -0.091552   -0.336266    0.725628        6.388931       -3.261550   26.523177    9.135951    0.185376    7.996937
    0.794118    0.837637   -0.062646   -0.401347    0.779635        6.388959       -3.261543   26.934402    9.307074    0.185376    7.996937
    0.803922    0.841246   -0.028589   -0.467590    0.825503        6.388996       -3.261534   27.348029    9.480536    0.185376    7.996937
    0.813725    0.841981    0.010689   -0.534446    0.862647        6.389036       -3.261526   27.762743    9.655084    0.185376    7.996937
    0.823529    0.839433    0.055215   -0.601379    0.890631        6.389075       -3.261517   28.177027    9.829184    0.185376    7.996937
    0.833333    0.833195    0.104975   -0.667866    0.909153        6.389106       -3.261509   28.589163   10.001026    0.185376    7.996937
    0.843137    0.822876    0.159914   -0.733404    0.918041        6.389125       -3.261502   28.997237   10.168561    0.185376    7.996937
    0.852941    0.808109    0.219937   -0.797509    0.917247        6.389131       -3.261497   29.399147   10.329566    0.185376    7.996937
