           t           r         psi          cs          qs               p             sig           A           V          Q2           S
    0.000000    0.000000   -1.570796   -0.170901    0.000000     -503.848961     1592.361037    0.000000    0.000000    0.233632    4.024270
    0.009804    0.039453   -1.563936   -0.179106    0.486222     -504.779039     1486.308181    0.004890    0.000000    0.233632    4.024270
    0.019608    0.078905   -1.556548   -0.196495    0.718890     -507.801952     1384.175337    0.019560    0.000005    0.233632    4.024270
    0.029412    0.118352   -1.548357   -0.219688    0.915058     -513.339380     1285.785053    0.044010    0.000028    0.233632    4.024270
    0.039216    0.157791   -1.539133   -0.249028    1.140324     -521.943496     1191.006751    0.078237    0.000094    0.233632    4.024270
    0.049020    0.197217   -1.528604   -0.286217    1.429359     -534.335508     1099.765348    0.122240    0.000239    0.233632    4.024270
    0.058824    0.236625   -1.516409   -0.334002    1.816323     -551.466423     1012.052975    0.176014    0.000523    0.233632    4.024270
    0.068627    0.276004   -1.502057   -0.396422    2.345610     -574.607098      927.945010    0.239554    0.001026    0.233632    4.024270
    0.078431    0.315340   -1.484861   -0.479295    3.077599     -605.480254      847.622145    0.312850    0.001866    0.233632    4.024270
    0.088235    0.354611   -1.463861   -0.590831    4.090505     -646.453364      771.400994    0.395890    0.003207    0.233632    4.024270
    0.098039    0.393782   -1.437718   -0.742166    5.473482     -700.815827      699.776732    0.488654    0.005286    0.233632    4.024270
    0.107843    0.432797   -1.404592   -0.947332    7.301410     -773.159615      633.482663    0.591110    0.008442    0.233632    4.024270
    0.117647    0.471563   -1.362054   -1.221790    9.579475     -869.851079      573.572934    0.703210    0.013161    0.233632    4.024270
    0.127451    0.509927   -1.307100   -1.578322   12.152242     -999.483744      521.535113    0.824873    0.020137    0.233632    4.024270
    0.137255    0.547639   -1.236393   -2.019295   14.596626    -1172.974708      479.435947    0.955973    0.030332    0.233632    4.024270
    0.147059    0.584302   -1.146886   -2.525876   16.164620    -1402.558173      450.089736    1.096300    0.045008    0.233632    4.024270
    0.156863    0.619331   -1.036863   -3.048088   15.889603    -1698.451304      437.202135    1.245529    0.065675    0.233632    4.024270
    0.166667    0.651932   -0.907239   -3.503589   12.955743    -2062.054713      445.370619    1.403158    0.093891    0.233632    4.024270
    0.176471    0.681176   -0.762585   -3.793880    7.266886    -2476.595111      479.732250    1.568472    0.130869    0.233632    4.024270
    0.186275    0.706174   -0.611126   -3.838916   -0.143486    -2900.909857      545.039364    1.740525    0.177027    0.233632    4.024270
    0.196078    0.726320   -0.463237   -3.615029   -7.350467    -3275.730357      644.196642    1.918183    0.231722    0.233632    4.024270
    0.205882    0.741474   -0.328805   -3.170020  -12.485213    -3545.509178      776.830210    2.100213    0.293387    0.233632    4.024270
    0.215686    0.751988   -0.214729   -2.601239  -14.702433    -3683.002717      938.801221    2.285413    0.360034    0.233632    4.024270
    0.225490    0.758556   -0.123805   -2.011869  -14.373857    -3697.951850     1123.114542    2.472714    0.429782    0.233632    4.024270
    0.235294    0.762014   -0.055255   -1.476076  -12.515416    -3626.081596     1321.701531    2.661240    0.501181    0.233632    4.024270
    0.245098    0.763167   -0.006148   -1.029284  -10.105738    -3510.761623     1527.096700    2.850322    0.573254    0.233632    4.024270
