           t           r         psi          cs          qs               p             sig           A           V          Q2           S
    0.000000    0.000000   -1.570796    0.318401    0.000000      -22.311786      113.651987    0.000000    0.000000    0.181126    5.861512
    0.002488    0.014581   -1.575457    0.322124   -0.677472      -22.287216      108.898662    0.000668   -0.000000    0.181126    5.861512
    0.004975    0.029161   -1.580225    0.333132   -1.336477      -22.210702      104.201179    0.002672   -0.000000    0.181126    5.861512
    0.007463    0.043741   -1.585206    0.351272   -1.986350      -22.077929       99.557785    0.006011   -0.000001    0.181126    5.861512
    0.009950    0.058320   -1.590504    0.376494   -2.634685      -21.883496       94.966781    0.010686   -0.000003    0.181126    5.861512
    0.012438    0.072897   -1.596220    0.408828   -3.287508      -21.620605       90.426525    0.016697   -0.000008    0.181126    5.861512
    0.014925    0.087472   -1.602461    0.448367   -3.949381      -21.280881       85.935433    0.024043   -0.000016    0.181126    5.861512
    0.017413    0.102044   -1.609331    0.495249   -4.623467      -20.854207       81.491981    0.032724   -0.000030    0.181126    5.861512
    0.019900    0.116612   -1.616939    0.549639   -5.311541      -20.328544       77.094707    0.042740   -0.000054    0.181126    5.861512
    0.022388    0.131174   -1.625397    0.611711   -6.013978      -19.689739       72.742214    0.054091   -0.000089    0.181126    5.861512
    0.024876    0.145729   -1.634816    0.681634   -6.729707      -18.921325       68.433176    0.066775   -0.000141    0.181126    5.861512
    0.027363    0.160275   -1.645313    0.759550   -7.456142      -18.004301       64.166334    0.080792   -0.000216    0.181126    5.861512
    0.029851    0.174809   -1.657005    0.845556   -8.189104      -16.916898       59.940506    0.096142   -0.000319    0.181126    5.861512
    0.032338    0.189327   -1.670011    0.939686   -8.922724      -15.634349       55.754589    0.112822   -0.000460    0.181126    5.861512
    0.034826    0.203826   -1.684447    1.041885   -9.649350      -14.128649       51.607562    0.130831   -0.000648    0.181126    5.861512
    0.037313    0.218299   -1.700432    1.151991  -10.359456      -12.368327       47.498493    0.150168   -0.000896    0.181126    5.861512
    0.039801    0.232741   -1.718079    1.269707  -11.041556      -10.318239       43.426539    0.170829   -0.001218    0.181126    5.861512
