           t           r         psi          cs          qs           p         sig           A           V          Q2           R           U           S           x         xcm
    0.000000   -0.000000   -1.570796   -1.153443    0.000000   -3.851636    1.669625    0.000000    0.000000    0.000004    0.839948    0.002413    3.384340   -1.198712    0.000000
    0.009615    0.032534   -1.533257   -1.153730    0.000000   -3.851655    1.669328    0.003326    0.000001    0.000004    0.839942    0.002413    3.384340   -1.198101   -0.000000
    0.019231    0.065022   -1.495707   -1.154051    0.000000   -3.851719    1.669011    0.013301    0.000016    0.000004    0.839924    0.002413    3.384340   -1.196269   -0.000005
    0.028846    0.097419   -1.458147   -1.154395    0.000000   -3.851833    1.668694    0.029910    0.000082    0.000004    0.839893    0.002413    3.384340   -1.193219   -0.000025
    0.038462    0.129678   -1.420575   -1.154768    0.000000   -3.852002    1.668376    0.053129    0.000258    0.000004    0.839851    0.002413    3.384340   -1.188955   -0.000077
    0.048077    0.161754   -1.382990   -1.155173    0.000000   -3.852237    1.668056    0.082927    0.000628    0.000004    0.839796    0.002413    3.384340   -1.183481   -0.000188
    0.057692    0.193602   -1.345392   -1.155618    0.000000   -3.852544    1.667732    0.119260    0.001295    0.000005    0.839729    0.002413    3.384340   -1.176806   -0.000385
    0.067308    0.225176   -1.307778   -1.156108    0.000000   -3.852937    1.667403    0.162078    0.002385    0.000005    0.839650    0.002413    3.384340   -1.168938   -0.000707
    0.076923    0.256432   -1.270148   -1.156654    0.000000   -3.853427    1.667068    0.211320    0.004041    0.000005    0.839560    0.002413    3.384340   -1.159889   -0.001191
    0.086538    0.287326   -1.232499   -1.157265    0.000000   -3.854032    1.666726    0.266917    0.006423    0.000005    0.839458    0.002413    3.384340   -1.149669   -0.001882
    0.096154    0.317812   -1.194828   -1.157953    0.000000   -3.854771    1.666375    0.328789    0.009704    0.000006    0.839344    0.002413    3.384340   -1.138294   -0.002825
    0.105769    0.347849   -1.157134   -1.158732    0.000000   -3.855668    1.666014    0.396849    0.014069    0.000006    0.839219    0.002413    3.384340   -1.125778   -0.004067
    0.115385    0.377392   -1.119413   -1.159622    0.000000   -3.856754    1.665640    0.471002    0.019714    0.000006    0.839082    0.002413    3.384340   -1.112138   -0.005654
    0.125000    0.406400   -1.081660   -1.160644    0.000000   -3.858064    1.665252    0.551140    0.026840    0.000007    0.838935    0.002413    3.384340   -1.097394   -0.007632
    0.134615    0.434830   -1.043872   -1.161826    0.000000   -3.859645    1.664848    0.637152    0.035650    0.000007    0.838777    0.002413    3.384340   -1.081565   -0.010043
    0.144231    0.462642   -1.006043   -1.163203    0.000000   -3.861556    1.664424    0.728914    0.046349    0.000007    0.838608    0.002413    3.384340   -1.064672   -0.012928
    0.153846    0.489794   -0.968164   -1.164820    0.000000   -3.863871    1.663979    0.826296    0.059139    0.000008    0.838428    0.002413    3.384340   -1.046739   -0.016321
    0.163462    0.516247   -0.930229   -1.166732    0.000000   -3.866684    1.663508    0.929158    0.074216    0.000008    0.838239    0.002413    3.384340   -1.027791   -0.020250
    0.173077    0.541962   -0.892225   -1.169015    0.000000   -3.870118    1.663008    1.037355    0.091767    0.000009    0.838039    0.002413    3.384340   -1.007851   -0.024739
    0.182692    0.566900   -0.854140   -1.171764    0.000000   -3.874337    1.662475    1.150731    0.111968    0.000009    0.837830    0.002413    3.384340   -0.986948   -0.029801
    0.192308    0.591023   -0.815957   -1.175108    0.000000   -3.879555    1.661902    1.269123    0.134981    0.000010    0.837612    0.002413    3.384340   -0.965109   -0.035445
    0.201923    0.614293   -0.777652   -1.179221    0.000000   -3.886064    1.661283    1.392360    0.160949    0.000010    0.837385    0.002413    3.384340   -0.942365   -0.041668
    0.211538    0.636673   -0.739198   -1.184344    0.000000   -3.894264    1.660611    1.520266    0.189998    0.000011    0.837148    0.002413    3.384340   -0.918744   -0.048459
    0.221154    0.658127   -0.700556   -1.190810    0.000000   -3.904717    1.659876    1.652653    0.222229    0.000012    0.836904    0.002413    3.384340   -0.894278   -0.055801
    0.230769    0.678617   -0.661676   -1.199099    0.000000   -3.918225    1.659066    1.789329    0.257723    0.000012    0.836651    0.002413    3.384340   -0.868999   -0.063663
    0.240385    0.698104   -0.622487   -1.209916    0.000000   -3.935960    1.658166    1.930092    0.296532    0.000013    0.836390    0.002413    3.384340   -0.842940   -0.072010
    0.250000    0.716551   -0.582892   -1.224319    0.000000   -3.959692    1.657157    2.074735    0.338683    0.000013    0.836122    0.002413    3.384340   -0.816134   -0.080796
    0.259615    0.733914   -0.542748   -1.243957    0.000000   -3.992167    1.656017    2.223039    0.384173    0.000014    0.835847    0.002413    3.384340   -0.788615   -0.089967
    0.269231    0.750149   -0.501846   -1.271493    0.000000   -4.037812    1.654714    2.374778    0.432972    0.000015    0.835565    0.002413    3.384340   -0.760415   -0.099463
    0.278846    0.765203   -0.459862   -1.311408    0.000000   -4.104073    1.653210    2.529718    0.485019    0.000015    0.835276    0.002413    3.384340   -0.731567   -0.109219
    0.288462    0.779011   -0.416277   -1.371622    0.000000   -4.204086    1.651462    2.687609    0.540221    0.000016    0.834982    0.002413    3.384340   -0.702103   -0.119162
    0.298077    0.791487   -0.370217   -1.466885    0.000000   -4.362284    1.649425    2.848189    0.598458    0.000017    0.834681    0.002413    3.384340   -0.672051   -0.129216
    0.307692    0.802510   -0.320124   -1.626001    0.000000   -4.626341    1.647097    3.011174    0.659574    0.000018    0.834375    0.002413    3.384340   -0.641437   -0.139301
    0.317308    0.811888   -0.263102   -1.905328    0.000000   -5.089680    1.644676    3.176249    0.723376    0.000018    0.834064    0.002413    3.384340   -0.610280   -0.149335
    0.326923    0.819299   -0.193869   -2.389085    0.000000   -5.893843    1.643215    3.343047    0.789612    0.000019    0.833747    0.002413    3.384340   -0.578600   -0.159229
    0.336538    0.824214   -0.106347   -2.946952    0.000000   -6.839783    1.646801    3.511116    0.857874    0.000020    0.833425    0.002413    3.384340   -0.546442   -0.168878
    0.346154    0.826126   -0.014119   -2.414892    0.000000   -6.029478    1.663194    3.679886    0.927382    0.000021    0.833100    0.002413    3.384340   -0.513969   -0.178139
    0.355769    0.825592    0.037991   -0.808716    0.000000   -3.407097    1.687439    3.848775    0.997115    0.000022    0.832775    0.002413    3.384340   -0.481435   -0.186860
    0.365385    0.824125    0.047471    0.074957    0.000000   -1.940632    1.706674    4.017435    1.066607    0.000022    0.832450    0.002413    3.384340   -0.448926   -0.194984
    0.375000    0.822680    0.040139    0.308441    0.000000   -1.558691    1.720181    4.185789    1.135848    0.000023    0.832125    0.002413    3.384340   -0.416417   -0.202513
    0.384615    0.821540    0.030048    0.289406    0.000000   -1.604750    1.730616    4.353876    1.204896    0.000024    0.831800    0.002413    3.384340   -0.383895   -0.209456
    0.394231    0.820700    0.022081    0.195442    0.000000   -1.779251    1.739702    4.521763    1.273799    0.000025    0.831474    0.002413    3.384340   -0.351364   -0.215822
    0.403846    0.820067    0.017367    0.096616    0.000000   -1.962711    1.748343    4.689501    1.342589    0.000026    0.831149    0.002413    3.384340   -0.318829   -0.221615
    0.413462    0.819539    0.015538    0.020679    0.000000   -2.107262    1.756971    4.857121    1.411288    0.000026    0.830824    0.002413    3.384340   -0.286291   -0.226838
    0.423077    0.819035    0.015685   -0.024661    0.000000   -2.199154    1.765736    5.024637    1.479901    0.000027    0.830498    0.002413    3.384340   -0.253754   -0.231494
    0.432692    0.818507    0.016846   -0.042821    0.000000   -2.243802    1.774620    5.192048    1.548428    0.000028    0.830173    0.002413    3.384340   -0.221216   -0.235584
