           t           r         psi          cs          qs               p             sig           A           V          Q2           S
    0.000000    0.000000   -1.570796   -1.184709    0.000000        4.590416       -2.710109   -0.000000    0.000000    0.026461   10.372373
    0.009804    0.101444   -1.450444   -1.181161   -0.092922        4.590355       -2.710592    0.032447    0.000099    0.026461   10.372373
    0.019608    0.201427   -1.330812   -1.170542   -0.184651        4.590142       -2.711057    0.129321    0.001557    0.026461   10.372373
    0.029412    0.298542   -1.212616   -1.152940   -0.273927        4.589717       -2.711518    0.289234    0.007673    0.026461   10.372373
    0.039216    0.391489   -1.096559   -1.128505   -0.359517        4.588992       -2.711988    0.509931    0.023356    0.026461   10.372373
    0.049020    0.479124   -0.983325   -1.097449   -0.440233        4.587831       -2.712480    0.788375    0.054372    0.026461   10.372373
    0.058824    0.560486   -0.873575   -1.060048   -0.514943        4.586016       -2.713008    1.120853    0.106494    0.026461   10.372373
    0.068627    0.634828   -0.767936   -1.016641   -0.582601        4.583202       -2.713590    1.503109    0.184718    0.026461   10.372373
    0.078431    0.701627   -0.667000   -0.967627   -0.642274        4.578817       -2.714244    1.930476    0.292650    0.026461   10.372373
    0.088235    0.760582   -0.571315   -0.913465   -0.693182        4.571911       -2.714992    2.398027    0.432158    0.026461   10.372373
    0.098039    0.811608   -0.481377   -0.854661   -0.734767        4.560861       -2.715861    2.900713    0.603286    0.026461   10.372373
    0.107843    0.854815   -0.397633   -0.791762   -0.766789        4.542874       -2.716872    3.433493    0.804411    0.026461   10.372373
    0.117647    0.890485   -0.320469   -0.725320   -0.789484        4.513197       -2.718040    3.991452    1.032566    0.026461   10.372373
    0.127451    0.919046   -0.250220   -0.655855   -0.803805        4.464186       -2.719331    4.569905    1.283865    0.026461   10.372373
    0.137255    0.941044   -0.187170   -0.583781   -0.811697        4.385719       -2.720592    5.164478    1.553939    0.026461   10.372373
    0.147059    0.957116   -0.131571   -0.509317   -0.816025        4.272701       -2.721399    5.771177    1.838339    0.026461   10.372373
    0.156863    0.967972   -0.083665   -0.432478   -0.818867        4.151061       -2.720874    6.386439    2.132857    0.026461   10.372373
    0.166667    0.974374   -0.043691   -0.353394   -0.816508        4.108738       -2.717882    7.007173    2.433765    0.026461   10.372373
    0.176471    0.977128   -0.011832   -0.273191   -0.795311        4.228372       -2.712163    7.630789    2.737972    0.026461   10.372373
    0.186275    0.977055    0.011927   -0.194694   -0.741062        4.430824       -2.705325    8.255217    3.043089    0.026461   10.372373
    0.196078    0.974965    0.027950   -0.121647   -0.654398        4.556247       -2.699517    8.878912    3.347431    0.026461   10.372373
    0.205882    0.971610    0.036960   -0.057164   -0.548002        4.557793       -2.695637    9.500830    3.649941    0.026461   10.372373
    0.215686    0.967654    0.039931   -0.003103   -0.434517        4.477311       -2.693466   10.120379    3.950089    0.026461   10.372373
    0.225490    0.963658    0.037973    0.039693   -0.322009        4.360497       -2.692474   10.737362    4.247751    0.026461   10.372373
    0.235294    0.960061    0.032247    0.071034   -0.215067        4.232681       -2.692216   11.351898    4.543099    0.026461   10.372373
    0.245098    0.957189    0.023906    0.091182   -0.116547        4.104223       -2.692391   11.964353    4.836517    0.026461   10.372373
    0.254902    0.955250    0.014060    0.100778   -0.028560        3.978018       -2.692809   12.575264    5.128520    0.026461   10.372373
    0.264706    0.954346    0.003734    0.100811    0.047127        3.853797       -2.693346   13.185263    5.419694    0.026461   10.372373
    0.274510    0.954476   -0.006163    0.092595    0.108975        3.730170       -2.693912   13.795018    5.710645    0.026461   10.372373
    0.284314    0.955559   -0.014872    0.077723    0.155676        3.605597       -2.694431   14.405166    6.001956    0.026461   10.372373
    0.294118    0.957440   -0.021806    0.058011    0.186201        3.479008       -2.694822   15.016271    6.294148    0.026461   10.372373
    0.303922    0.959919   -0.026572    0.035419    0.199882        3.350456       -2.694988   15.628781    6.587649    0.026461   10.372373
    0.313725    0.962764   -0.028981    0.011973    0.196544        3.222031       -2.694807   16.243004    6.882767    0.026461   10.372373
    0.323529    0.965733   -0.029046   -0.010335    0.176741        3.099077       -2.694122   16.859098    7.179673    0.026461   10.372373
    0.333333    0.968598   -0.026980   -0.029663    0.142096        2.991385       -2.692749   17.477066    7.478399    0.026461   10.372373
    0.343137    0.971160   -0.023167   -0.044461    0.095722        2.913285       -2.690501   18.096778    7.778837    0.026461   10.372373
    0.352941    0.973268   -0.018129   -0.053643    0.042493        2.880899       -2.687238   18.717989    8.080760    0.026461   10.372373
    0.362745    0.974826   -0.012464   -0.056763   -0.011174        2.905492       -2.682943   19.340374    8.383855    0.026461   10.372373
    0.372549    0.975802   -0.006781   -0.054115   -0.058360        2.985413       -2.677777   19.963568    8.687761    0.026461   10.372373
    0.382353    0.976223   -0.001620   -0.046701   -0.093304        3.103030       -2.672064   20.587206    8.992111    0.026461   10.372373
    0.392157    0.976163    0.002607   -0.036022   -0.112887        3.230996       -2.666207   21.210955    9.296571    0.026461   10.372373
    0.401961    0.975733    0.005653   -0.023767   -0.117093        3.343782       -2.660563   21.834540    9.600870    0.026461   10.372373
    0.411765    0.975056    0.007441   -0.011511   -0.108346        3.425892       -2.655363   22.457765    9.904813    0.026461   10.372373
    0.421569    0.974260    0.008037   -0.000514   -0.090328        3.472914       -2.650700   23.080513   10.208288    0.026461   10.372373
    0.431373    0.973456    0.007618    0.008363   -0.066933        3.487976       -2.646561   23.702745   10.511260    0.026461   10.372373
    0.441176    0.972737    0.006424    0.014655   -0.041638        3.477588       -2.642872   24.324485   10.813756    0.026461   10.372373
    0.450980    0.972167    0.004729    0.018243   -0.017237        3.448854       -2.639528   24.945811   11.115852    0.026461   10.372373
    0.460784    0.971783    0.002801    0.019288    0.004205        3.408201       -2.636423   25.566831   11.417652    0.026461   10.372373
    0.470588    0.971597    0.000880    0.018150    0.021307        3.361047       -2.633452   26.187669   11.719278    0.026461   10.372373
    0.480392    0.971597   -0.000834    0.015329    0.033298        3.311899       -2.630523   26.808449   12.020847    0.026461   10.372373
    0.490196    0.971754   -0.002199    0.011391    0.039950        3.264534       -2.627557   27.429281   12.322466    0.026461   10.372373
    0.500000    0.972029   -0.003132    0.006914    0.041508        3.222133       -2.624487   28.050253   12.624222    0.026461   10.372373
