           t           r         psi          cs          qs               p             sig           A           V          Q2           S
    0.000000    0.000000   -1.570796   -0.986819    0.000000        1.858882        2.355429   -0.000000    0.000000    0.175528    2.847274
    0.009804    0.027911   -1.543241   -0.987758    0.089138        1.856015        2.263312    0.002448    0.000000    0.175528    2.847274
    0.019608    0.055801   -1.515634   -0.990523    0.174962        1.847016        2.173182    0.009789    0.000008    0.175528    2.847274
    0.029412    0.083648   -1.487925   -0.995043    0.257543        1.831363        2.084915    0.022019    0.000038    0.175528    2.847274
    0.039216    0.111431   -1.460066   -1.001248    0.336915        1.808517        1.998393    0.039128    0.000120    0.175528    2.847274
    0.049020    0.139127   -1.432011   -1.009068    0.413079        1.777883        1.913505    0.061102    0.000294    0.175528    2.847274
    0.058824    0.166715   -1.403717   -1.018433    0.485998        1.738795        1.830151    0.087925    0.000609    0.175528    2.847274
    0.068627    0.194171   -1.375140   -1.029275    0.555598        1.690507        1.748237    0.119575    0.001127    0.175528    2.847274
    0.078431    0.221471   -1.346240   -1.041519    0.621772        1.632182        1.667682    0.156028    0.001920    0.175528    2.847274
    0.088235    0.248590   -1.316980   -1.055093    0.684370        1.562879        1.588416    0.197253    0.003072    0.175528    2.847274
    0.098039    0.275502   -1.287324   -1.069919    0.743206        1.481547        1.510384    0.243217    0.004674    0.175528    2.847274
    0.107843    0.302181   -1.257237   -1.085913    0.798054        1.387012        1.433546    0.293881    0.006831    0.175528    2.847274
    0.117647    0.328599   -1.226689   -1.102988    0.848642        1.277968        1.357877    0.349202    0.009653    0.175528    2.847274
    0.127451    0.354728   -1.195649   -1.121049    0.894656        1.152964        1.283377    0.409131    0.013261    0.175528    2.847274
    0.137255    0.380535   -1.164093   -1.139996    0.935734        1.010397        1.210067    0.473616    0.017783    0.175528    2.847274
    0.147059    0.405992   -1.131997   -1.159717    0.971464        0.848507        1.137995    0.542596    0.023354    0.175528    2.847274
    0.156863    0.431064   -1.099342   -1.180090    1.001385        0.665368        1.067242    0.616008    0.030113    0.175528    2.847274
    0.166667    0.455719   -1.066109   -1.200985    1.024980        0.458895        0.997925    0.693782    0.038205    0.175528    2.847274
    0.176471    0.479921   -1.032288   -1.222256    1.041680        0.226849        0.930204    0.775840    0.047775    0.175528    2.847274
    0.186275    0.503634   -0.997870   -1.243743    1.050860       -0.033143        0.864289    0.862102    0.058972    0.175528    2.847274
    0.196078    0.526822   -0.962851   -1.265271    1.051842       -0.323555        0.800450    0.952476    0.071940    0.175528    2.847274
    0.205882    0.549447   -0.927233   -1.286649    1.043894       -0.646902        0.739023    1.046869    0.086823    0.175528    2.847274
    0.215686    0.571471   -0.891022   -1.307663    1.026239       -1.005668        0.680424    1.145178    0.103757    0.175528    2.847274
    0.225490    0.592853   -0.854233   -1.328084    0.998062       -1.402185        0.625158    1.247294    0.122871    0.175528    2.847274
    0.235294    0.613556   -0.816885   -1.347658    0.958522       -1.838474        0.573836    1.353101    0.144283    0.175528    2.847274
    0.245098    0.633541   -0.779005   -1.366109    0.906770       -2.316035        0.527184    1.462477    0.168098    0.175528    2.847274
    0.254902    0.652767   -0.740630   -1.383142    0.841978       -2.835570        0.486061    1.575292    0.194405    0.175528    2.847274
    0.264706    0.671199   -0.701802   -1.398434    0.763369       -3.396634        0.451471    1.691411    0.223276    0.175528    2.847274
    0.274510    0.688798   -0.662576   -1.411646    0.670267       -3.997214        0.424573    1.810689    0.254761    0.175528    2.847274
    0.284314    0.705531   -0.623014   -1.422418    0.562153       -4.633238        0.406689    1.932979    0.288888    0.175528    2.847274
    0.294118    0.721363   -0.583190   -1.430376    0.438734       -5.298031        0.399302    2.058125    0.325661    0.175528    2.847274
    0.303922    0.736265   -0.543188   -1.435138    0.300028       -5.981761        0.404048    2.185967    0.365058    0.175528    2.847274
    0.313725    0.750211   -0.503101   -1.436323    0.146458       -6.670944        0.422692    2.316338    0.407033    0.175528    2.847274
    0.323529    0.763176   -0.463036   -1.433560   -0.021042       -7.348093        0.457083    2.449071    0.451511    0.175528    2.847274
    0.333333    0.775142   -0.423107   -1.426504   -0.200930       -7.991668        0.509092    2.583989    0.498394    0.175528    2.847274
    0.343137    0.786095   -0.383439   -1.414851   -0.390963       -8.576437        0.580522    2.720918    0.547557    0.175528    2.847274
    0.352941    0.796026   -0.344163   -1.398361   -0.588135       -9.074434        0.672998    2.859679    0.598854    0.175528    2.847274
    0.362745    0.804932   -0.305416   -1.376872   -0.788650       -9.456590        0.787827    3.000091    0.652119    0.175528    2.847274
    0.372549    0.812815   -0.267340   -1.350326   -0.987975       -9.695045        0.925858    3.141976    0.707170    0.175528    2.847274
    0.382353    0.819684   -0.230076   -1.318787   -1.180948       -9.766017        1.087334    3.285154    0.763812    0.175528    2.847274
    0.392157    0.825553   -0.193759   -1.282452   -1.361989       -9.652885        1.271771    3.429449    0.821838    0.175528    2.847274
    0.401961    0.830441   -0.158519   -1.241666   -1.525382       -9.349032        1.477873    3.574687    0.881041    0.175528    2.847274
    0.411765    0.834375   -0.124475   -1.196921   -1.665612       -8.859889        1.703508    3.720698    0.941208    0.175528    2.847274
    0.421569    0.837384   -0.091727   -1.148844   -1.777736       -8.203688        1.945761    3.867317    1.002132    0.175528    2.847274
    0.431373    0.839501   -0.060360   -1.098185   -1.857728       -7.410632        2.201049    4.014386    1.063611    0.175528    2.847274
    0.441176    0.840764   -0.030433   -1.045787   -1.902761       -6.520519        2.465311    4.161750    1.125454    0.175528    2.847274
    0.450980    0.841213   -0.001983   -0.992553   -1.911385       -5.579156        2.734230    4.309264    1.187477    0.175528    2.847274
    0.460784    0.840889    0.024981   -0.939412   -1.883589       -4.634200        3.003473    4.456789    1.249513    0.175528    2.847274
    0.470588    0.839832    0.050473   -0.887281   -1.820726       -3.731074        3.268916    4.604191    1.311407    0.175528    2.847274
    0.480392    0.838086    0.074534   -0.837030   -1.725351       -2.909583        3.526829    4.751348    1.373018    0.175528    2.847274
    0.490196    0.835688    0.097228   -0.789457   -1.600971       -2.201595        3.774008    4.898140    1.434218    0.175528    2.847274
    0.500000    0.832678    0.118640   -0.745262   -1.451761       -1.629909        4.007852    5.044457    1.494893    0.175528    2.847274
    0.509804    0.829092    0.138873   -0.705035   -1.282282       -1.208208        4.226382    5.190196    1.554939    0.175528    2.847274
    0.519608    0.824960    0.158043   -0.669248   -1.097220       -0.941833        4.428221    5.335257    1.614266    0.175528    2.847274
    0.529412    0.820314    0.176281   -0.638254   -0.901163       -0.829090        4.612534    5.479548    1.672790    0.175528    2.847274
    0.539216    0.815178    0.193723   -0.612291   -0.698436       -0.862785        4.778961    5.622981    1.730437    0.175528    2.847274
