           t           r         psi          cs          qs               p             sig           A           V           Q           S
    0.000000    0.000000   -1.570796   -1.335792    0.000000        6.242548       -3.428141    0.000000    0.000000    0.000000    4.417478
    0.000500    0.002209   -1.567846   -1.335792   -0.003220        6.242548       -3.428141    0.000015    0.000000    0.000000    4.417478
    0.001000    0.004417   -1.564895   -1.335792   -0.006441        6.242548       -3.428141    0.000061    0.000000    0.000000    4.417478
    0.001500    0.006626   -1.561945   -1.335792   -0.009661        6.242548       -3.428141    0.000138    0.000000    0.000000    4.417478
    0.002000    0.008835   -1.558995   -1.335792   -0.012881        6.242548       -3.428141    0.000245    0.000000    0.000000    4.417478
    0.002500    0.011043   -1.556044   -1.335792   -0.016102        6.242548       -3.428141    0.000383    0.000000    0.000000    4.417478
    0.003000    0.013252   -1.553094   -1.335792   -0.019322        6.242548       -3.428141    0.000552    0.000000    0.000000    4.417478
    0.003500    0.015460   -1.550143   -1.335792   -0.022543        6.242548       -3.428141    0.000751    0.000000    0.000000    4.417478
    0.004000    0.017668   -1.547193   -1.335792   -0.025763        6.242548       -3.428141    0.000981    0.000000    0.000000    4.417478
    0.004500    0.019876   -1.544243   -1.335792   -0.028983        6.242548       -3.428141    0.001241    0.000000    0.000000    4.417478
    0.005000    0.022084   -1.541292   -1.335731   -0.032204        6.242548       -3.428141    0.001533    0.000000    0.000000    4.417478
    0.005500    0.024292   -1.538342   -1.335664   -0.035425        6.242548       -3.428141    0.001854    0.000000    0.000000    4.417478
    0.006000    0.026499   -1.535392   -1.335595   -0.038645        6.242548       -3.428141    0.002207    0.000001    0.000000    4.417478
    0.006500    0.028707   -1.532442   -1.335522   -0.041865        6.242548       -3.428141    0.002590    0.000001    0.000000    4.417478
    0.007000    0.030914   -1.529492   -1.335445   -0.045084        6.242548       -3.428141    0.003004    0.000001    0.000000    4.417478
    0.007500    0.033120   -1.526543   -1.335364   -0.048303        6.242548       -3.428141    0.003448    0.000001    0.000000    4.417478
    0.008000    0.035327   -1.523593   -1.335278   -0.051522        6.242548       -3.428141    0.003923    0.000002    0.000000    4.417478
    0.008500    0.037533   -1.520644   -1.335187   -0.054740        6.242548       -3.428141    0.004428    0.000002    0.000000    4.417478
    0.009000    0.039739   -1.517695   -1.335092   -0.057957        6.242548       -3.428141    0.004965    0.000003    0.000000    4.417478
    0.009500    0.041944   -1.514746   -1.334991   -0.061174        6.242548       -3.428141    0.005531    0.000003    0.000000    4.417478
    0.010000    0.044149   -1.511798   -1.334886   -0.064391        6.242548       -3.428141    0.006129    0.000004    0.000000    4.417478
    0.010500    0.046354   -1.508850   -1.334775   -0.067607        6.242548       -3.428141    0.006757    0.000005    0.000000    4.417478
    0.011000    0.048558   -1.505902   -1.334659   -0.070823        6.242548       -3.428141    0.007415    0.000006    0.000000    4.417478
    0.011500    0.050762   -1.502954   -1.334538   -0.074038        6.242548       -3.428141    0.008105    0.000007    0.000000    4.417478
    0.012000    0.052965   -1.500006   -1.334412   -0.077252        6.242548       -3.428141    0.008824    0.000008    0.000000    4.417478
    0.012500    0.055168   -1.497059   -1.334280   -0.080465        6.242548       -3.428141    0.009575    0.000010    0.000000    4.417478
    0.013000    0.057371   -1.494112   -1.334143   -0.083678        6.242548       -3.428141    0.010356    0.000011    0.000000    4.417478
    0.013500    0.059573   -1.491166   -1.334001   -0.086891        6.242548       -3.428141    0.011167    0.000013    0.000000    4.417478
    0.014000    0.061774   -1.488219   -1.333854   -0.090102        6.242548       -3.428141    0.012009    0.000015    0.000000    4.417478
    0.014500    0.063975   -1.485273   -1.333702   -0.093313        6.242548       -3.428141    0.012882    0.000018    0.000000    4.417478
    0.015000    0.066176   -1.482328   -1.333544   -0.096523        6.242548       -3.428141    0.013785    0.000020    0.000000    4.417478
    0.015500    0.068376   -1.479382   -1.333381   -0.099732        6.242548       -3.428141    0.014718    0.000023    0.000000    4.417478
    0.016000    0.070575   -1.476437   -1.333212   -0.102941        6.242548       -3.428141    0.015683    0.000026    0.000000    4.417478
    0.016500    0.072773   -1.473493   -1.333039   -0.106148        6.242548       -3.428141    0.016677    0.000030    0.000000    4.417478
    0.017000    0.074971   -1.470549   -1.332860   -0.109355        6.242548       -3.428141    0.017702    0.000033    0.000000    4.417478
    0.017500    0.077169   -1.467605   -1.332676   -0.112561        6.242548       -3.428141    0.018758    0.000037    0.000000    4.417478
    0.018000    0.079365   -1.464662   -1.332486   -0.115766        6.242548       -3.428141    0.019844    0.000042    0.000000    4.417478
    0.018500    0.081561   -1.461719   -1.332291   -0.118970        6.242548       -3.428141    0.020961    0.000047    0.000000    4.417478
    0.019000    0.083757   -1.458776   -1.332091   -0.122173        6.242548       -3.428141    0.022108    0.000052    0.000000    4.417478
    0.019500    0.085951   -1.455834   -1.331886   -0.125375        6.242548       -3.428141    0.023286    0.000057    0.000000    4.417478
    0.020000    0.088145   -1.452893   -1.331675   -0.128576        6.242548       -3.428141    0.024494    0.000064    0.000000    4.417478
    0.020500    0.090338   -1.449952   -1.331459   -0.131776        6.242548       -3.428141    0.025732    0.000070    0.000000    4.417478
    0.021000    0.092530   -1.447011   -1.331238   -0.134974        6.242548       -3.428141    0.027001    0.000077    0.000000    4.417478
    0.021500    0.094722   -1.444071   -1.331011   -0.138172        6.242548       -3.428141    0.028300    0.000085    0.000000    4.417478
    0.022000    0.096912   -1.441131   -1.330779   -0.141369        6.242548       -3.428141    0.029630    0.000093    0.000000    4.417478
    0.022500    0.099102   -1.438192   -1.330542   -0.144564        6.242548       -3.428141    0.030990    0.000102    0.000000    4.417478
    0.023000    0.101291   -1.435254   -1.330300   -0.147758        6.242548       -3.428141    0.032381    0.000111    0.000000    4.417478
    0.023500    0.103479   -1.432316   -1.330052   -0.150951        6.242548       -3.428141    0.033802    0.000121    0.000000    4.417478
    0.024000    0.105666   -1.429378   -1.329799   -0.154143        6.242548       -3.428141    0.035253    0.000132    0.000000    4.417478
    0.024500    0.107852   -1.426441   -1.329540   -0.157333        6.242548       -3.428141    0.036735    0.000143    0.000000    4.417478
    0.025000    0.110038   -1.423505   -1.329277   -0.160523        6.242548       -3.428141    0.038247    0.000155    0.000000    4.417478
