           t           r         psi          cs          qs               p             sig           A           V           Q           S
    0.000000    0.000000   -1.570796   -1.628481    0.000000       11.312625       -5.095573    0.000000   -0.000000    0.000000    3.623325
    0.000500    0.001812   -1.567846   -1.628481   -0.004786       11.312625       -5.095573    0.000010    0.000000    0.000000    3.623325
    0.001000    0.003623   -1.564896   -1.628481   -0.009572       11.312625       -5.095573    0.000041    0.000000    0.000000    3.623325
    0.001500    0.005435   -1.561946   -1.628481   -0.014358       11.312625       -5.095573    0.000093    0.000000    0.000000    3.623325
    0.002000    0.007246   -1.558995   -1.628481   -0.019144       11.312625       -5.095573    0.000165    0.000000    0.000000    3.623325
    0.002500    0.009058   -1.556045   -1.628481   -0.023930       11.312625       -5.095573    0.000258    0.000000    0.000000    3.623325
    0.003000    0.010869   -1.553095   -1.628481   -0.028716       11.312625       -5.095573    0.000371    0.000000    0.000000    3.623325
    0.003500    0.012681   -1.550145   -1.628481   -0.033501       11.312625       -5.095573    0.000505    0.000000    0.000000    3.623325
    0.004000    0.014492   -1.547194   -1.628481   -0.038287       11.312625       -5.095573    0.000660    0.000000    0.000000    3.623325
    0.004500    0.016303   -1.544244   -1.628481   -0.043073       11.312625       -5.095573    0.000835    0.000000    0.000000    3.623325
    0.005000    0.018114   -1.541294   -1.628481   -0.047859       11.312625       -5.095573    0.001031    0.000000    0.000000    3.623325
    0.005500    0.019925   -1.538343   -1.628481   -0.052645       11.312625       -5.095573    0.001248    0.000000    0.000000    3.623325
    0.006000    0.021735   -1.535393   -1.628389   -0.057432       11.312625       -5.095573    0.001485    0.000000    0.000000    3.623325
    0.006500    0.023546   -1.532443   -1.628291   -0.062219       11.312625       -5.095573    0.001742    0.000000    0.000000    3.623325
    0.007000    0.025356   -1.529493   -1.628190   -0.067005       11.312625       -5.095573    0.002021    0.000001    0.000000    3.623325
    0.007500    0.027166   -1.526544   -1.628085   -0.071790       11.312625       -5.095573    0.002320    0.000001    0.000000    3.623325
    0.008000    0.028976   -1.523594   -1.627976   -0.076575       11.312625       -5.095573    0.002639    0.000001    0.000000    3.623325
    0.008500    0.030785   -1.520645   -1.627861   -0.081358       11.312625       -5.095573    0.002979    0.000001    0.000000    3.623325
    0.009000    0.032595   -1.517696   -1.627742   -0.086141       11.312625       -5.095573    0.003340    0.000001    0.000000    3.623325
    0.009500    0.034404   -1.514747   -1.627616   -0.090924       11.312625       -5.095573    0.003721    0.000002    0.000000    3.623325
    0.010000    0.036212   -1.511799   -1.627485   -0.095705       11.312625       -5.095573    0.004123    0.000002    0.000000    3.623325
    0.010500    0.038021   -1.508850   -1.627348   -0.100486       11.312625       -5.095573    0.004546    0.000003    0.000000    3.623325
    0.011000    0.039829   -1.505902   -1.627205   -0.105265       11.312625       -5.095573    0.004989    0.000003    0.000000    3.623325
    0.011500    0.041636   -1.502955   -1.627056   -0.110044       11.312625       -5.095573    0.005452    0.000004    0.000000    3.623325
    0.012000    0.043444   -1.500007   -1.626900   -0.114822       11.312625       -5.095573    0.005937    0.000005    0.000000    3.623325
    0.012500    0.045251   -1.497060   -1.626739   -0.119599       11.312625       -5.095573    0.006442    0.000005    0.000000    3.623325
    0.013000    0.047057   -1.494113   -1.626571   -0.124375       11.312625       -5.095573    0.006967    0.000006    0.000000    3.623325
    0.013500    0.048863   -1.491166   -1.626397   -0.129150       11.312625       -5.095573    0.007513    0.000007    0.000000    3.623325
    0.014000    0.050669   -1.488220   -1.626217   -0.133924       11.312625       -5.095573    0.008079    0.000008    0.000000    3.623325
    0.014500    0.052474   -1.485274   -1.626030   -0.138696       11.312625       -5.095573    0.008666    0.000010    0.000000    3.623325
    0.015000    0.054279   -1.482328   -1.625837   -0.143468       11.312625       -5.095573    0.009274    0.000011    0.000000    3.623325
    0.015500    0.056083   -1.479383   -1.625638   -0.148238       11.312625       -5.095573    0.009902    0.000013    0.000000    3.623325
    0.016000    0.057887   -1.476438   -1.625432   -0.153007       11.312625       -5.095573    0.010551    0.000014    0.000000    3.623325
    0.016500    0.059691   -1.473493   -1.625220   -0.157775       11.312625       -5.095573    0.011220    0.000016    0.000000    3.623325
    0.017000    0.061493   -1.470549   -1.625001   -0.162542       11.312625       -5.095573    0.011910    0.000018    0.000000    3.623325
    0.017500    0.063296   -1.467606   -1.624776   -0.167307       11.312625       -5.095573    0.012620    0.000021    0.000000    3.623325
    0.018000    0.065097   -1.464662   -1.624545   -0.172071       11.312625       -5.095573    0.013351    0.000023    0.000000    3.623325
    0.018500    0.066899   -1.461719   -1.624307   -0.176833       11.312625       -5.095573    0.014102    0.000026    0.000000    3.623325
    0.019000    0.068699   -1.458777   -1.624063   -0.181594       11.312625       -5.095573    0.014874    0.000029    0.000000    3.623325
    0.019500    0.070499   -1.455835   -1.623812   -0.186354       11.312625       -5.095573    0.015666    0.000032    0.000000    3.623325
    0.020000    0.072299   -1.452893   -1.623555   -0.191112       11.312625       -5.095573    0.016479    0.000035    0.000000    3.623325
    0.020500    0.074097   -1.449952   -1.623291   -0.195868       11.312625       -5.095573    0.017312    0.000039    0.000000    3.623325
    0.021000    0.075895   -1.447012   -1.623021   -0.200623       11.312625       -5.095573    0.018166    0.000043    0.000000    3.623325
    0.021500    0.077693   -1.444071   -1.622745   -0.205376       11.312625       -5.095573    0.019040    0.000047    0.000000    3.623325
    0.022000    0.079490   -1.441132   -1.622462   -0.210127       11.312625       -5.095573    0.019934    0.000051    0.000000    3.623325
    0.022500    0.081286   -1.438193   -1.622172   -0.214877       11.312625       -5.095573    0.020849    0.000056    0.000000    3.623325
    0.023000    0.083081   -1.435254   -1.621876   -0.219625       11.312625       -5.095573    0.021785    0.000061    0.000000    3.623325
    0.023500    0.084876   -1.432316   -1.621574   -0.224371       11.312625       -5.095573    0.022741    0.000067    0.000000    3.623325
    0.024000    0.086670   -1.429379   -1.621265   -0.229115       11.312625       -5.095573    0.023717    0.000073    0.000000    3.623325
    0.024500    0.088463   -1.426442   -1.620950   -0.233857       11.312625       -5.095573    0.024714    0.000079    0.000000    3.623325
    0.025000    0.090256   -1.423505   -1.620629   -0.238598       11.312625       -5.095573    0.025731    0.000085    0.000000    3.623325
    0.025500    0.092047   -1.420570   -1.620300   -0.243336       11.312625       -5.095573    0.026769    0.000092    0.000000    3.623325
    0.026000    0.093838   -1.417635   -1.619966   -0.248073       11.312625       -5.095573    0.027827    0.000100    0.000000    3.623325
    0.026500    0.095628   -1.414700   -1.619625   -0.252807       11.312625       -5.095573    0.028905    0.000108    0.000000    3.623325
    0.027000    0.097417   -1.411766   -1.619278   -0.257540       11.312625       -5.095573    0.030004    0.000116    0.000000    3.623325
