           t           r         psi          cs          qs               p             sig           A           V           Q           S
    0.023000    0.079667   -1.435254   -1.691387   -0.238852       12.830332       -5.541696    0.020031    0.000054    0.000000    3.474421
    0.023500    0.081388   -1.432316   -1.691072   -0.244014       12.830332       -5.541696    0.020910    0.000059    0.000000    3.474421
    0.024000    0.083108   -1.429379   -1.690749   -0.249173       12.830332       -5.541696    0.021808    0.000064    0.000000    3.474421
    0.024500    0.084828   -1.426442   -1.690421   -0.254331       12.830332       -5.541696    0.022724    0.000069    0.000000    3.474421
    0.025000    0.086546   -1.423506   -1.690085   -0.259486       12.830332       -5.541696    0.023660    0.000075    0.000000    3.474421
    0.025500    0.088264   -1.420570   -1.689743   -0.264640       12.830332       -5.541696    0.024614    0.000081    0.000000    3.474421
    0.026000    0.089982   -1.417635   -1.689394   -0.269791       12.830332       -5.541696    0.025586    0.000088    0.000000    3.474421
    0.026500    0.091698   -1.414700   -1.689039   -0.274940       12.830332       -5.541696    0.026578    0.000095    0.000000    3.474421
    0.027000    0.093414   -1.411766   -1.688676   -0.280087       12.830332       -5.541696    0.027588    0.000102    0.000000    3.474421
    0.027500    0.095129   -1.408833   -1.688307   -0.285231       12.830332       -5.541696    0.028617    0.000110    0.000000    3.474421
    0.028000    0.096843   -1.405900   -1.687931   -0.290373       12.830332       -5.541696    0.029665    0.000118    0.000000    3.474421
    0.028500    0.098556   -1.402968   -1.687549   -0.295513       12.830332       -5.541696    0.030731    0.000127    0.000000    3.474421
    0.029000    0.100268   -1.400037   -1.687160   -0.300650       12.830332       -5.541696    0.031816    0.000136    0.000000    3.474421
    0.029500    0.101980   -1.397107   -1.686764   -0.305785       12.830332       -5.541696    0.032920    0.000146    0.000000    3.474421
    0.030000    0.103691   -1.394177   -1.686361   -0.310917       12.830332       -5.541696    0.034043    0.000156    0.000000    3.474421
    0.030500    0.105400   -1.391247   -1.685952   -0.316047       12.830332       -5.541696    0.035184    0.000166    0.000000    3.474421
    0.031000    0.107109   -1.388319   -1.685536   -0.321174       12.830332       -5.541696    0.036344    0.000177    0.000000    3.474421
    0.031500    0.108817   -1.385391   -1.685113   -0.326298       12.830332       -5.541696    0.037522    0.000189    0.000000    3.474421
    0.032000    0.110524   -1.382464   -1.684683   -0.331420       12.830332       -5.541696    0.038719    0.000201    0.000000    3.474421
    0.032500    0.112230   -1.379538   -1.684247   -0.336539       12.830332       -5.541696    0.039935    0.000214    0.000000    3.474421
    0.033000    0.113935   -1.376612   -1.683804   -0.341656       12.830332       -5.541696    0.041169    0.000227    0.000000    3.474421
    0.033500    0.115639   -1.373688   -1.683355   -0.346769       12.830332       -5.541696    0.042422    0.000241    0.000000    3.474421
    0.034000    0.117342   -1.370764   -1.682898   -0.351880       12.830332       -5.541696    0.043694    0.000256    0.000000    3.474421
    0.034500    0.119044   -1.367840   -1.682435   -0.356988       12.830332       -5.541696    0.044984    0.000271    0.000000    3.474421
    0.035000    0.120745   -1.364918   -1.681966   -0.362092       12.830332       -5.541696    0.046292    0.000287    0.000000    3.474421
    0.035500    0.122445   -1.361997   -1.681489   -0.367194       12.830332       -5.541696    0.047620    0.000304    0.000000    3.474421
    0.036000    0.124144   -1.359076   -1.681006   -0.372293       12.830332       -5.541696    0.048965    0.000321    0.000000    3.474421
    0.036500    0.125842   -1.356156   -1.680517   -0.377389       12.830332       -5.541696    0.050330    0.000339    0.000000    3.474421
    0.037000    0.127539   -1.353237   -1.680020   -0.382481       12.830332       -5.541696    0.051713    0.000358    0.000000    3.474421
    0.037500    0.129235   -1.350319   -1.679517   -0.387571       12.830332       -5.541696    0.053114    0.000377    0.000000    3.474421
    0.038000    0.130929   -1.347402   -1.679007   -0.392657       12.830332       -5.541696    0.054534    0.000398    0.000000    3.474421
    0.038500    0.132623   -1.344485   -1.678491   -0.397740       12.830332       -5.541696    0.055972    0.000419    0.000000    3.474421
    0.039000    0.134315   -1.341570   -1.677968   -0.402820       12.830332       -5.541696    0.057429    0.000441    0.000000    3.474421
    0.039500    0.136006   -1.338655   -1.677438   -0.407897       12.830332       -5.541696    0.058904    0.000464    0.000000    3.474421
    0.040000    0.137696   -1.335742   -1.676901   -0.412970       12.830332       -5.541696    0.060398    0.000487    0.000000    3.474421
    0.040500    0.139385   -1.332829   -1.676358   -0.418040       12.830332       -5.541696    0.061910    0.000512    0.000000    3.474421
