           t           r         psi          cs          qs               p             sig           A           V           Q           S
    0.000000    0.000000   -1.570796   -1.564219    0.000000       10.025157       -4.701230    0.000000    0.000000    0.000000    3.772228
    0.000500    0.001886   -1.567846   -1.564219   -0.004416       10.025157       -4.701230    0.000011    0.000000    0.000000    3.772228
    0.001000    0.003772   -1.564896   -1.564219   -0.008831       10.025157       -4.701230    0.000045    0.000000    0.000000    3.772228
    0.001500    0.005658   -1.561945   -1.564219   -0.013247       10.025157       -4.701230    0.000101    0.000000    0.000000    3.772228
    0.002000    0.007544   -1.558995   -1.564219   -0.017663       10.025157       -4.701230    0.000179    0.000000    0.000000    3.772228
    0.002500    0.009430   -1.556045   -1.564219   -0.022079       10.025157       -4.701230    0.000279    0.000000    0.000000    3.772228
    0.003000    0.011316   -1.553095   -1.564219   -0.026494       10.025157       -4.701230    0.000402    0.000000    0.000000    3.772228
    0.003500    0.013202   -1.550144   -1.564219   -0.030910       10.025157       -4.701230    0.000548    0.000000    0.000000    3.772228
    0.004000    0.015088   -1.547194   -1.564219   -0.035326       10.025157       -4.701230    0.000715    0.000000    0.000000    3.772228
    0.004500    0.016973   -1.544244   -1.564219   -0.039741       10.025157       -4.701230    0.000905    0.000000    0.000000    3.772228
    0.005000    0.018858   -1.541293   -1.564219   -0.044157       10.025157       -4.701230    0.001118    0.000000    0.000000    3.772228
    0.005500    0.020744   -1.538343   -1.564184   -0.048573       10.025157       -4.701230    0.001352    0.000000    0.000000    3.772228
    0.006000    0.022629   -1.535393   -1.564095   -0.052990       10.025157       -4.701230    0.001609    0.000000    0.000000    3.772228
    0.006500    0.024513   -1.532443   -1.564003   -0.057406       10.025157       -4.701230    0.001889    0.000000    0.000000    3.772228
    0.007000    0.026398   -1.529493   -1.563908   -0.061821       10.025157       -4.701230    0.002190    0.000001    0.000000    3.772228
    0.007500    0.028282   -1.526544   -1.563809   -0.066236       10.025157       -4.701230    0.002514    0.000001    0.000000    3.772228
    0.008000    0.030167   -1.523594   -1.563705   -0.070650       10.025157       -4.701230    0.002861    0.000001    0.000000    3.772228
    0.008500    0.032051   -1.520645   -1.563596   -0.075064       10.025157       -4.701230    0.003229    0.000001    0.000000    3.772228
    0.009000    0.033934   -1.517696   -1.563482   -0.079476       10.025157       -4.701230    0.003620    0.000002    0.000000    3.772228
    0.009500    0.035817   -1.514747   -1.563362   -0.083889       10.025157       -4.701230    0.004033    0.000002    0.000000    3.772228
    0.010000    0.037700   -1.511799   -1.563237   -0.088300       10.025157       -4.701230    0.004469    0.000002    0.000000    3.772228
